,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,461117328001,Coupon Applicable,"{'brandName': 'KULTPRIT', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/htlK/5f204073aeb269f5fee72878/-286Wx359H-461117328-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461117328_blue', 'sizeFlag': False}","[{'altText': 'KULTPRIT Blue Crew Panelled Slim Fit Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/htlK/5f204073aeb269f5fee7287d/kultprit_blue_crew_panelled_slim_fit_crew-neck_t-shirt.jpg'}, {'altText': 'KULTPRIT Blue Crew Panelled Slim Fit Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/htlK/5f204073aeb269f5fee72879/kultprit_blue_crew_panelled_slim_fit_crew-neck_t-shirt.jpg'}, {'altText': 'KULTPRIT Blue Crew Panelled Slim Fit Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/htlK/5f204073aeb269f5fee72878/kultprit_blue_crew_panelled_slim_fit_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",55% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 360.00', 'displayformattedValue': 'Rs. 360', 'value': 360}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}",Panelled Slim Fit Crew-Neck T-shirt,False,/kultprit-panelled-slim-fit-crew-neck-t-shirt/p/461117328_blue,"{'sizeVariants': ['S', 'M', 'L']}",www.ajio.com/kultprit-panelled-slim-fit-crew-neck-t-shirt/p/461117328_blue
1,460499281005,Coupon Applicable,"{'brandName': 'U.S. Polo Assn.', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/jVeE/5f1f2e47aeb269f5fee7108e/-286Wx359H-460499281-ivory-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460499281_ivory', 'sizeFlag': False}","[{'altText': 'U.S. Polo Assn. Ivory White Polo Polo T-shirt with Embroidered Branding', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/jVeE/5f1f2e47aeb269f5fee71098/u.s._polo_assn._ivory_white_polo_polo_t-shirt_with_embroidered_branding.jpg'}, {'altText': 'U.S. Polo Assn. Ivory White Polo Polo T-shirt with Embroidered Branding', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/jVeE/5f1f2e47aeb269f5fee71090/u.s._polo_assn._ivory_white_polo_polo_t-shirt_with_embroidered_branding.jpg'}, {'altText': 'U.S. Polo Assn. Ivory White Polo Polo T-shirt with Embroidered Branding', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/jVeE/5f1f2e47aeb269f5fee7108e/u.s._polo_assn._ivory_white_polo_polo_t-shirt_with_embroidered_branding.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}",Polo T-shirt with Embroidered Branding,False,/u-s-polo-assn-polo-t-shirt-with-embroidered-branding/p/460499281_ivory,,www.ajio.com/u-s-polo-assn-polo-t-shirt-with-embroidered-branding/p/460499281_ivory
2,460171706004,Coupon Applicable,"{'brandName': 'U.S. Polo Assn.', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/pwg2/5f1f2d8d7cdb8c2207863d45/-286Wx359H-460171706-offwhite-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460171706_offwhite', 'sizeFlag': False}","[{'altText': 'U.S. Polo Assn. White Polo Printed Polo T-shirt with Vented Hem', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/pwg2/5f1f2d8d7cdb8c2207863d4f/u.s._polo_assn._white_polo_printed_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'U.S. Polo Assn. White Polo Printed Polo T-shirt with Vented Hem', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/pwg2/5f1f2d8d7cdb8c2207863d47/u.s._polo_assn._white_polo_printed_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'U.S. Polo Assn. White Polo Printed Polo T-shirt with Vented Hem', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/pwg2/5f1f2d8d7cdb8c2207863d45/u.s._polo_assn._white_polo_printed_polo_t-shirt_with_vented_hem.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,999.00', 'displayformattedValue': 'Rs. 1,999', 'value': 1999}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,999.00', 'displayformattedValue': 'Rs. 1,999', 'value': 1999}",Printed Polo T-shirt with Vented Hem,False,/u-s-polo-assn-printed-polo-t-shirt-with-vented-hem/p/460171706_offwhite,,www.ajio.com/u-s-polo-assn-printed-polo-t-shirt-with-vented-hem/p/460171706_offwhite
3,460315380003,Coupon Applicable,"{'brandName': 'U.S. Polo Assn.', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/QlVa/5f1f2f2c7cdb8c22078643c9/-286Wx359H-460315380-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460315380_blue', 'sizeFlag': False}","[{'altText': 'U.S. Polo Assn. Orange Polo Ditsy Print Polo T-shirt with Branding', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/QlVa/5f1f2f2c7cdb8c22078643d9/u.s._polo_assn._orange_polo_ditsy_print_polo_t-shirt_with_branding.jpg'}, {'altText': 'U.S. Polo Assn. Orange Polo Ditsy Print Polo T-shirt with Branding', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/QlVa/5f1f2f2c7cdb8c22078643cc/u.s._polo_assn._orange_polo_ditsy_print_polo_t-shirt_with_branding.jpg'}, {'altText': 'U.S. Polo Assn. Orange Polo Ditsy Print Polo T-shirt with Branding', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/QlVa/5f1f2f2c7cdb8c22078643c9/u.s._polo_assn._orange_polo_ditsy_print_polo_t-shirt_with_branding.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,469.00', 'displayformattedValue': 'Rs. 1,469', 'value': 1469}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,099.00', 'displayformattedValue': 'Rs. 2,099', 'value': 2099}",Ditsy Print Polo T-shirt with Branding,False,/u-s-polo-assn-ditsy-print-polo-t-shirt-with-branding/p/460315380_blue,,www.ajio.com/u-s-polo-assn-ditsy-print-polo-t-shirt-with-branding/p/460315380_blue
4,460315698017,Coupon Applicable,"{'brandName': 'SPYKAR', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/fMVQ/5f1f27b27cdb8c22078625cb/-286Wx359H-460315698-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460315698_navy', 'sizeFlag': False}","[{'altText': 'SPYKAR Blue Polo Striped Polo T-shirt with Vented Hems', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/fMVQ/5f1f27b27cdb8c22078625e4/spykar_blue_polo_striped_polo_t-shirt_with_vented_hems.jpg'}, {'altText': 'SPYKAR Blue Polo Striped Polo T-shirt with Vented Hems', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/fMVQ/5f1f27b27cdb8c22078625d0/spykar_blue_polo_striped_polo_t-shirt_with_vented_hems.jpg'}, {'altText': 'SPYKAR Blue Polo Striped Polo T-shirt with Vented Hems', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/fMVQ/5f1f27b27cdb8c22078625cb/spykar_blue_polo_striped_polo_t-shirt_with_vented_hems.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,189.00', 'displayformattedValue': 'Rs. 1,189', 'value': 1189}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}",Striped Polo T-shirt with Vented Hems,False,/spykar-striped-polo-t-shirt-with-vented-hems/p/460315698_navy,,www.ajio.com/spykar-striped-polo-t-shirt-with-vented-hems/p/460315698_navy
5,460315695007,Coupon Applicable,"{'brandName': 'SPYKAR', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/YpS1/5f1f202d7cdb8c22078606f2/-286Wx359H-460315695-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460315695_white', 'sizeFlag': False}","[{'altText': 'SPYKAR White Polo Micro Print Polo T-shirt with Vented Hem', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/YpS1/5f1f202d7cdb8c2207860700/spykar_white_polo_micro_print_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'SPYKAR White Polo Micro Print Polo T-shirt with Vented Hem', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/YpS1/5f1f202d7cdb8c22078606f6/spykar_white_polo_micro_print_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'SPYKAR White Polo Micro Print Polo T-shirt with Vented Hem', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/YpS1/5f1f202d7cdb8c22078606f2/spykar_white_polo_micro_print_polo_t-shirt_with_vented_hem.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}",Micro Print Polo T-shirt with Vented Hem,False,/spykar-micro-print-polo-t-shirt-with-vented-hem/p/460315695_white,,www.ajio.com/spykar-micro-print-polo-t-shirt-with-vented-hem/p/460315695_white
6,460315693012,Coupon Applicable,"{'brandName': 'SPYKAR', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/v1zO/5f1f2e82aeb269f5fee7118a/-286Wx359H-460315693-royalblue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460315693_royalblue', 'sizeFlag': False}","[{'altText': 'SPYKAR Blue Polo Polo T-shirt with Vented Hem', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/v1zO/5f1f2e82aeb269f5fee711a0/spykar_blue_polo_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'SPYKAR Blue Polo Polo T-shirt with Vented Hem', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/v1zO/5f1f2e82aeb269f5fee7118d/spykar_blue_polo_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'SPYKAR Blue Polo Polo T-shirt with Vented Hem', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/v1zO/5f1f2e82aeb269f5fee7118a/spykar_blue_polo_polo_t-shirt_with_vented_hem.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}",Polo T-shirt with Vented Hem,False,/spykar-polo-t-shirt-with-vented-hem/p/460315693_royalblue,,www.ajio.com/spykar-polo-t-shirt-with-vented-hem/p/460315693_royalblue
7,460315693011,Coupon Applicable,"{'brandName': 'SPYKAR', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/oXNd/5f1f24ab7cdb8c2207861a0d/-286Wx359H-460315693-red-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460315693_red', 'sizeFlag': False}","[{'altText': 'SPYKAR Red Polo Polo T-shirt with Vented Hem', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/oXNd/5f1f24ab7cdb8c2207861a20/spykar_red_polo_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'SPYKAR Red Polo Polo T-shirt with Vented Hem', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/oXNd/5f1f24ab7cdb8c2207861a10/spykar_red_polo_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'SPYKAR Red Polo Polo T-shirt with Vented Hem', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/oXNd/5f1f24ab7cdb8c2207861a0d/spykar_red_polo_polo_t-shirt_with_vented_hem.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}",Polo T-shirt with Vented Hem,False,/spykar-polo-t-shirt-with-vented-hem/p/460315693_red,,www.ajio.com/spykar-polo-t-shirt-with-vented-hem/p/460315693_red
8,460315690017,Coupon Applicable,"{'brandName': 'SPYKAR', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/FwEy/5f1f2d56aeb269f5fee70cdb/-286Wx359H-460315690-orange-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460315690_orange', 'sizeFlag': False}","[{'altText': 'SPYKAR Pink Polo Floral Print Polo T-shirt with Vented Hem', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/FwEy/5f1f2d56aeb269f5fee70ced/spykar_pink_polo_floral_print_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'SPYKAR Pink Polo Floral Print Polo T-shirt with Vented Hem', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/FwEy/5f1f2d56aeb269f5fee70ce0/spykar_pink_polo_floral_print_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'SPYKAR Pink Polo Floral Print Polo T-shirt with Vented Hem', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/FwEy/5f1f2d56aeb269f5fee70cdb/spykar_pink_polo_floral_print_polo_t-shirt_with_vented_hem.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,599.00', 'displayformattedValue': 'Rs. 1,599', 'value': 1599}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,599.00', 'displayformattedValue': 'Rs. 1,599', 'value': 1599}",Floral Print Polo T-shirt with Vented Hem,False,/spykar-floral-print-polo-t-shirt-with-vented-hem/p/460315690_orange,,www.ajio.com/spykar-floral-print-polo-t-shirt-with-vented-hem/p/460315690_orange
9,460315688001,Coupon Applicable,"{'brandName': 'SPYKAR', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/SfCJ/5f1f24ab7cdb8c2207861a0c/-286Wx359H-460315688-melange-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460315688_melange', 'sizeFlag': False}","[{'altText': 'SPYKAR Grey Polo Printed Polo T-shirt with Vented Hem', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/SfCJ/5f1f24ab7cdb8c2207861a1e/spykar_grey_polo_printed_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'SPYKAR Grey Polo Printed Polo T-shirt with Vented Hem', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/SfCJ/5f1f24ab7cdb8c2207861a0f/spykar_grey_polo_printed_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'SPYKAR Grey Polo Printed Polo T-shirt with Vented Hem', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/SfCJ/5f1f24ab7cdb8c2207861a0c/spykar_grey_polo_printed_polo_t-shirt_with_vented_hem.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,599.00', 'displayformattedValue': 'Rs. 1,599', 'value': 1599}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,599.00', 'displayformattedValue': 'Rs. 1,599', 'value': 1599}",Printed Polo T-shirt with Vented Hem,False,/spykar-printed-polo-t-shirt-with-vented-hem/p/460315688_melange,,www.ajio.com/spykar-printed-polo-t-shirt-with-vented-hem/p/460315688_melange
10,460315681005,Coupon Applicable,"{'brandName': 'SPYKAR', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/MZ03/5f1f27eeaeb269f5fee6f636/-286Wx359H-460315681-coral-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460315681_coral', 'sizeFlag': False}","[{'altText': 'SPYKAR Coral Polo Cotton Polo T-shirt with Vented Hem', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/MZ03/5f1f27eeaeb269f5fee6f640/spykar_coral_polo_cotton_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'SPYKAR Coral Polo Cotton Polo T-shirt with Vented Hem', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/MZ03/5f1f27eeaeb269f5fee6f638/spykar_coral_polo_cotton_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'SPYKAR Coral Polo Cotton Polo T-shirt with Vented Hem', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/MZ03/5f1f27eeaeb269f5fee6f636/spykar_coral_polo_cotton_polo_t-shirt_with_vented_hem.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}",Cotton Polo T-shirt with Vented Hem,False,/spykar-cotton-polo-t-shirt-with-vented-hem/p/460315681_coral,,www.ajio.com/spykar-cotton-polo-t-shirt-with-vented-hem/p/460315681_coral
11,460315681023,Coupon Applicable,"{'brandName': 'SPYKAR', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/2Wrq/5f1f23b0f997ddfa5323af4b/-286Wx359H-460315681-olive-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460315681_olive', 'sizeFlag': False}","[{'altText': 'SPYKAR Olive Polo Cotton Polo T-shirt with Vented Hem', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/2Wrq/5f1f23b0f997ddfa5323af5a/spykar_olive_polo_cotton_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'SPYKAR Olive Polo Cotton Polo T-shirt with Vented Hem', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/2Wrq/5f1f23b0f997ddfa5323af4e/spykar_olive_polo_cotton_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'SPYKAR Olive Polo Cotton Polo T-shirt with Vented Hem', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/2Wrq/5f1f23b0f997ddfa5323af4b/spykar_olive_polo_cotton_polo_t-shirt_with_vented_hem.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}",Cotton Polo T-shirt with Vented Hem,False,/spykar-cotton-polo-t-shirt-with-vented-hem/p/460315681_olive,,www.ajio.com/spykar-cotton-polo-t-shirt-with-vented-hem/p/460315681_olive
12,460315681013,Coupon Applicable,"{'brandName': 'SPYKAR', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/xwOV/5f1f228e7cdb8c22078611c5/-286Wx359H-460315681-yellow-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460315681_yellow', 'sizeFlag': False}","[{'altText': 'SPYKAR Yellow Polo Cotton Polo T-shirt with Vented Hem', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/xwOV/5f1f228e7cdb8c22078611d4/spykar_yellow_polo_cotton_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'SPYKAR Yellow Polo Cotton Polo T-shirt with Vented Hem', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/xwOV/5f1f228e7cdb8c22078611c8/spykar_yellow_polo_cotton_polo_t-shirt_with_vented_hem.jpg'}, {'altText': 'SPYKAR Yellow Polo Cotton Polo T-shirt with Vented Hem', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/xwOV/5f1f228e7cdb8c22078611c5/spykar_yellow_polo_cotton_polo_t-shirt_with_vented_hem.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}",Cotton Polo T-shirt with Vented Hem,False,/spykar-cotton-polo-t-shirt-with-vented-hem/p/460315681_yellow,,www.ajio.com/spykar-cotton-polo-t-shirt-with-vented-hem/p/460315681_yellow
13,441071598007,Coupon Applicable,"{'brandName': 'INDIAN TERRAIN', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/YzgP/5f1f2bb07cdb8c220786367e/-286Wx359H-441071598-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441071598_navy', 'sizeFlag': False}","[{'altText': 'INDIAN TERRAIN Navy Blue Polo Polo T-shirt with Stripe-Tipped Hems', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/YzgP/5f1f2bb07cdb8c2207863696/indian_terrain_navy_blue_polo_polo_t-shirt_with_stripe-tipped_hems.jpg'}, {'altText': 'INDIAN TERRAIN Navy Blue Polo Polo T-shirt with Stripe-Tipped Hems', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/YzgP/5f1f2bb07cdb8c2207863683/indian_terrain_navy_blue_polo_polo_t-shirt_with_stripe-tipped_hems.jpg'}, {'altText': 'INDIAN TERRAIN Navy Blue Polo Polo T-shirt with Stripe-Tipped Hems', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/YzgP/5f1f2bb07cdb8c220786367e/indian_terrain_navy_blue_polo_polo_t-shirt_with_stripe-tipped_hems.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,099.00', 'displayformattedValue': 'Rs. 1,099', 'value': 1099}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,099.00', 'displayformattedValue': 'Rs. 1,099', 'value': 1099}",Polo T-shirt with Stripe-Tipped Hems,False,/indian-terrain-polo-t-shirt-with-stripe-tipped-hems/p/441071598_navy,,www.ajio.com/indian-terrain-polo-t-shirt-with-stripe-tipped-hems/p/441071598_navy
