,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,441033913005,Coupon Applicable,"{'brandName': 'FUSION', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h2b/h82/14563088203806/-286Wx359H-441033913-red-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441033913_red', 'sizeFlag': False}","[{'altText': 'FUSION Red Straight Floral Print Straight Kurti with Band Collar', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hab/h38/14563088728094/fusion_red_straight_floral_print_straight_kurti_with_band_collar.jpg'}, {'altText': 'FUSION Red Straight Floral Print Straight Kurti with Band Collar', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd8/h25/14563093053470/fusion_red_straight_floral_print_straight_kurti_with_band_collar.jpg'}, {'altText': 'FUSION Red Straight Floral Print Straight Kurti with Band Collar', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2b/h82/14563088203806/fusion_red_straight_floral_print_straight_kurti_with_band_collar.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 274.00', 'displayformattedValue': 'Rs. 274', 'value': 274}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Floral Print Straight Kurti with Band Collar,False,/fusion-floral-print-straight-kurti-with-band-collar/p/441033913_red,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/fusion-floral-print-straight-kurti-with-band-collar/p/441033913_red
1,441033916001,Coupon Applicable,"{'brandName': 'FUSION', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h9a/h12/14860097028126/-286Wx359H-441033916-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441033916_pink', 'sizeFlag': False}","[{'altText': 'FUSION Pink Straight Floral Print Straight Kurti', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h95/h4b/14860097355806/fusion_pink_straight_floral_print_straight_kurti.jpg'}, {'altText': 'FUSION Pink Straight Floral Print Straight Kurti', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h6d/h82/14860104302622/fusion_pink_straight_floral_print_straight_kurti.jpg'}, {'altText': 'FUSION Pink Straight Floral Print Straight Kurti', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h9a/h12/14860097028126/fusion_pink_straight_floral_print_straight_kurti.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 274.00', 'displayformattedValue': 'Rs. 274', 'value': 274}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Floral Print Straight Kurti,False,/fusion-floral-print-straight-kurti/p/441033916_pink,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/fusion-floral-print-straight-kurti/p/441033916_pink
2,441033914003,Coupon Applicable,"{'brandName': 'FUSION', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ha6/hfb/14719771475998/-286Wx359H-441033914-black-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441033914_black', 'sizeFlag': False}","[{'altText': 'FUSION Black Straight Floral Print Straight Kurti with Band Collar', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he7/hd4/14719771738142/fusion_black_straight_floral_print_straight_kurti_with_band_collar.jpg'}, {'altText': 'FUSION Black Straight Floral Print Straight Kurti with Band Collar', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0c/h44/14719777243166/fusion_black_straight_floral_print_straight_kurti_with_band_collar.jpg'}, {'altText': 'FUSION Black Straight Floral Print Straight Kurti with Band Collar', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha6/hfb/14719771475998/fusion_black_straight_floral_print_straight_kurti_with_band_collar.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 274.00', 'displayformattedValue': 'Rs. 274', 'value': 274}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Floral Print Straight Kurti with Band Collar,False,/fusion-floral-print-straight-kurti-with-band-collar/p/441033914_black,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/fusion-floral-print-straight-kurti-with-band-collar/p/441033914_black
3,441033912005,Coupon Applicable,"{'brandName': 'FUSION', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h03/h83/14875511881758/-286Wx359H-441033912-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441033912_navy', 'sizeFlag': False}","[{'altText': 'FUSION Navy A-line Printed A-line Kurti with Band Collar', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hda/h49/14875512438814/fusion_navy_a-line_printed_a-line_kurti_with_band_collar.jpg'}, {'altText': 'FUSION Navy A-line Printed A-line Kurti with Band Collar', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h58/hf4/14875519877150/fusion_navy_a-line_printed_a-line_kurti_with_band_collar.jpg'}, {'altText': 'FUSION Navy A-line Printed A-line Kurti with Band Collar', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h03/h83/14875511881758/fusion_navy_a-line_printed_a-line_kurti_with_band_collar.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 274.00', 'displayformattedValue': 'Rs. 274', 'value': 274}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Printed A-line Kurti with Band Collar,False,/fusion-printed-a-line-kurti-with-band-collar/p/441033912_navy,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",trends.ajio.com/fusion-printed-a-line-kurti-with-band-collar/p/441033912_navy
4,441033917004,Coupon Applicable,"{'brandName': 'FUSION', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ha2/hb8/14883934797854/-286Wx359H-441033917-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441033917_navy', 'sizeFlag': False}","[{'altText': 'FUSION Navy Blue Straight Floral Print Straight Kurti with Notched Neckline', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he1/h7a/14883935223838/fusion_navy_blue_straight_floral_print_straight_kurti_with_notched_neckline.jpg'}, {'altText': 'FUSION Navy Blue Straight Floral Print Straight Kurti with Notched Neckline', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hec/hed/14883940204574/fusion_navy_blue_straight_floral_print_straight_kurti_with_notched_neckline.jpg'}, {'altText': 'FUSION Navy Blue Straight Floral Print Straight Kurti with Notched Neckline', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha2/hb8/14883934797854/fusion_navy_blue_straight_floral_print_straight_kurti_with_notched_neckline.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 274.00', 'displayformattedValue': 'Rs. 274', 'value': 274}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Floral Print Straight Kurti with Notched Neckline,False,/fusion-floral-print-straight-kurti-with-notched-neckline/p/441033917_navy,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/fusion-floral-print-straight-kurti-with-notched-neckline/p/441033917_navy
5,441024171014,Coupon Applicable,"{'brandName': 'FUSION', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h31/h4f/14771756204062/-286Wx359H-441024171-lime-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441024171_lime', 'sizeFlag': False}","[{'altText': 'FUSION Lime Green Tunics Floral Embroidered High-Low Kurti with Tassels', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h63/hb7/14771756761118/fusion_lime_green_tunics_floral_embroidered_high-low_kurti_with_tassels.jpg'}, {'altText': 'FUSION Lime Green Tunics Floral Embroidered High-Low Kurti with Tassels', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h9c/h83/14771762692126/fusion_lime_green_tunics_floral_embroidered_high-low_kurti_with_tassels.jpg'}, {'altText': 'FUSION Lime Green Tunics Floral Embroidered High-Low Kurti with Tassels', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h31/h4f/14771756204062/fusion_lime_green_tunics_floral_embroidered_high-low_kurti_with_tassels.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 450.00', 'displayformattedValue': 'Rs. 450', 'value': 450}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 899.00', 'displayformattedValue': 'Rs. 899', 'value': 899}",Floral Embroidered High-Low Kurti with Tassels,False,/fusion-floral-embroidered-high-low-kurti-with-tassels/p/441024171_lime,"{'sizeVariants': ['XS', 'S', 'M', 'XL']}",trends.ajio.com/fusion-floral-embroidered-high-low-kurti-with-tassels/p/441024171_lime
6,441024163005,Coupon Applicable,"{'brandName': 'FUSION', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h47/h9b/14739697106974/-286Wx359H-441024163-wine-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441024163_wine', 'sizeFlag': False}","[{'altText': 'FUSION Red Tunics Sleeveless Printed Tunic with Tie-Up', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hbc/h3f/14739697598494/fusion_red_tunics_sleeveless_printed_tunic_with_tie-up.jpg'}, {'altText': 'FUSION Red Tunics Sleeveless Printed Tunic with Tie-Up', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he0/he9/14739704938526/fusion_red_tunics_sleeveless_printed_tunic_with_tie-up.jpg'}, {'altText': 'FUSION Red Tunics Sleeveless Printed Tunic with Tie-Up', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h47/h9b/14739697106974/fusion_red_tunics_sleeveless_printed_tunic_with_tie-up.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 450.00', 'displayformattedValue': 'Rs. 450', 'value': 450}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 899.00', 'displayformattedValue': 'Rs. 899', 'value': 899}",Sleeveless Printed Tunic with Tie-Up,False,/fusion-sleeveless-printed-tunic-with-tie-up/p/441024163_wine,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",trends.ajio.com/fusion-sleeveless-printed-tunic-with-tie-up/p/441024163_wine
7,441033915004,Coupon Applicable,"{'brandName': 'FUSION', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hdf/h63/14600104968222/-286Wx359H-441033915-grey-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441033915_grey', 'sizeFlag': False}","[{'altText': 'FUSION Grey Straight Floral Print Straight Kurti with Band Collar', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h65/h28/14600105492510/fusion_grey_straight_floral_print_straight_kurti_with_band_collar.jpg'}, {'altText': 'FUSION Grey Straight Floral Print Straight Kurti with Band Collar', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h3b/h83/14600111357982/fusion_grey_straight_floral_print_straight_kurti_with_band_collar.jpg'}, {'altText': 'FUSION Grey Straight Floral Print Straight Kurti with Band Collar', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hdf/h63/14600104968222/fusion_grey_straight_floral_print_straight_kurti_with_band_collar.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 274.00', 'displayformattedValue': 'Rs. 274', 'value': 274}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Floral Print Straight Kurti with Band Collar,False,/fusion-floral-print-straight-kurti-with-band-collar/p/441033915_grey,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/fusion-floral-print-straight-kurti-with-band-collar/p/441033915_grey
8,441033918005,Coupon Applicable,"{'brandName': 'FUSION', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hdc/h06/14489854410782/-286Wx359H-441033918-mustard-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441033918_mustard', 'sizeFlag': False}","[{'altText': 'FUSION mustard Straight Floral Print Straight Kurti with Band Collar', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h34/h2b/14489855131678/fusion_mustard_straight_floral_print_straight_kurti_with_band_collar.jpg'}, {'altText': 'FUSION mustard Straight Floral Print Straight Kurti with Band Collar', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h12/h6f/14489861881886/fusion_mustard_straight_floral_print_straight_kurti_with_band_collar.jpg'}, {'altText': 'FUSION mustard Straight Floral Print Straight Kurti with Band Collar', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hdc/h06/14489854410782/fusion_mustard_straight_floral_print_straight_kurti_with_band_collar.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 274.00', 'displayformattedValue': 'Rs. 274', 'value': 274}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Floral Print Straight Kurti with Band Collar,False,/fusion-floral-print-straight-kurti-with-band-collar/p/441033918_mustard,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/fusion-floral-print-straight-kurti-with-band-collar/p/441033918_mustard
9,440988761010,Coupon Applicable,"{'brandName': 'FUSION', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h52/h20/13443039690782/-286Wx359H-440988761-teal-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440988761_teal', 'sizeFlag': False}","[{'altText': 'FUSION Teal A-line Embroidered High-Low A-line Tunic with Tassel', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h3d/h46/13443039756318/fusion_teal_a-line_embroidered_high-low_a-line_tunic_with_tassel.jpg'}, {'altText': 'FUSION Teal A-line Embroidered High-Low A-line Tunic with Tassel', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h34/ha7/13443040542750/fusion_teal_a-line_embroidered_high-low_a-line_tunic_with_tassel.jpg'}, {'altText': 'FUSION Teal A-line Embroidered High-Low A-line Tunic with Tassel', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h52/h20/13443039690782/fusion_teal_a-line_embroidered_high-low_a-line_tunic_with_tassel.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 479.00', 'displayformattedValue': 'Rs. 479', 'value': 479}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}",Embroidered High-Low A-line Tunic with Tassel,False,/fusion-embroidered-high-low-a-line-tunic-with-tassel/p/440988761_teal,"{'sizeVariants': ['S', 'M', 'L', 'XL']}",trends.ajio.com/fusion-embroidered-high-low-a-line-tunic-with-tassel/p/440988761_teal
10,441054830001,Coupon Applicable,"{'brandName': 'FIRST CLASS', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h93/h63/15636143210526/-286Wx359H-441054830-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441054830_navy', 'sizeFlag': False}","[{'altText': 'FIRST CLASS Navy Blue Button-Down Tunic with Schiffli Embroidery', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h88/h1b/15636143800350/first_class_navy_blue_button-down_tunic_with_schiffli_embroidery.jpg'}, {'altText': 'FIRST CLASS Navy Blue Button-Down Tunic with Schiffli Embroidery', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/had/h27/15636152942622/first_class_navy_blue_button-down_tunic_with_schiffli_embroidery.jpg'}, {'altText': 'FIRST CLASS Navy Blue Button-Down Tunic with Schiffli Embroidery', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h93/h63/15636143210526/first_class_navy_blue_button-down_tunic_with_schiffli_embroidery.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}",Button-Down Tunic with Schiffli Embroidery,False,/first-class-button-down-tunic-with-schiffli-embroidery/p/441054830_navy,{'sizeVariants': ['XS']},trends.ajio.com/first-class-button-down-tunic-with-schiffli-embroidery/p/441054830_navy
11,441037244001,Coupon Applicable,"{'brandName': ""AVAASA MIX N' MATCH"", 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h20/h91/15138171617310/-286Wx359H-441037244-teal-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441037244_teal', 'sizeFlag': False}","[{'altText': ""AVAASA MIX N' MATCH Teal Blue Straight Printed Kurti with Notched Round Neckline"", 'format': 'product', 'imageType': 'PRIMARY', 'url': ""https://assets.ajio.com/medias/sys_master/root/h7f/hfe/15138172207134/avaasa_mix_n'_match_teal_blue_straight_printed_kurti_with_notched_round_neckline.jpg""}, {'altText': ""AVAASA MIX N' MATCH Teal Blue Straight Printed Kurti with Notched Round Neckline"", 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': ""https://assets.ajio.com/medias/sys_master/root/h6b/h9c/15138179743774/avaasa_mix_n'_match_teal_blue_straight_printed_kurti_with_notched_round_neckline.jpg""}, {'altText': ""AVAASA MIX N' MATCH Teal Blue Straight Printed Kurti with Notched Round Neckline"", 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': ""https://assets.ajio.com/medias/sys_master/root/h20/h91/15138171617310/avaasa_mix_n'_match_teal_blue_straight_printed_kurti_with_notched_round_neckline.jpg""}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 350.00', 'displayformattedValue': 'Rs. 350', 'value': 350}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}",Printed Kurti with Notched Round Neckline,False,/avaasa-mix-n-match-printed-kurti-with-notched-round-neckline/p/441037244_teal,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/avaasa-mix-n-match-printed-kurti-with-notched-round-neckline/p/441037244_teal
12,440962821001,Coupon Applicable,"{'brandName': 'FIG', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h37/hee/13063249723422/-286Wx359H-440962821-maroonburg-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440962821_maroonburg', 'sizeFlag': False}","[{'altText': 'FIG Maroon Straight Panelled Straight Tunic with Trumpet Sleeves', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h1c/h0c/13063249788958/fig_maroon_straight_panelled_straight_tunic_with_trumpet_sleeves.jpg'}, {'altText': 'FIG Maroon Straight Panelled Straight Tunic with Trumpet Sleeves', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8f/h33/13063250575390/fig_maroon_straight_panelled_straight_tunic_with_trumpet_sleeves.jpg'}, {'altText': 'FIG Maroon Straight Panelled Straight Tunic with Trumpet Sleeves', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h37/hee/13063249723422/fig_maroon_straight_panelled_straight_tunic_with_trumpet_sleeves.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 559.00', 'displayformattedValue': 'Rs. 559', 'value': 559}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}",Panelled Straight Tunic with Trumpet Sleeves,False,/fig-panelled-straight-tunic-with-trumpet-sleeves/p/440962821_maroonburg,"{'sizeVariants': ['XS', 'S', 'M', 'XL']}",trends.ajio.com/fig-panelled-straight-tunic-with-trumpet-sleeves/p/440962821_maroonburg
13,441033910005,Coupon Applicable,"{'brandName': 'FUSION', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h31/h46/14491473969182/-286Wx359H-441033910-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441033910_white', 'sizeFlag': False}","[{'altText': 'FUSION White Straight Floral Print Straight Kurti with Band Collar', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0b/hab/14491474133022/fusion_white_straight_floral_print_straight_kurti_with_band_collar.jpg'}, {'altText': 'FUSION White Straight Floral Print Straight Kurti with Band Collar', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb1/h3b/14491479113758/fusion_white_straight_floral_print_straight_kurti_with_band_collar.jpg'}, {'altText': 'FUSION White Straight Floral Print Straight Kurti with Band Collar', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h31/h46/14491473969182/fusion_white_straight_floral_print_straight_kurti_with_band_collar.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 274.00', 'displayformattedValue': 'Rs. 274', 'value': 274}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Floral Print Straight Kurti with Band Collar,False,/fusion-floral-print-straight-kurti-with-band-collar/p/441033910_white,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/fusion-floral-print-straight-kurti-with-band-collar/p/441033910_white
14,460478782006,Coupon Applicable,"{'exclusiveTill': '2020-12-31T00:00:00', 'brandName': 'AJIO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h02/hf0/14995736231966/-286Wx359H-460478782-maroon-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460478782_maroon', 'sizeFlag': False}","[{'altText': 'AJIO Maroon Straight Sleeveless Tunic with Contrast Stitching', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/haf/h2e/14995736690718/ajio_maroon_straight_sleeveless_tunic_with_contrast_stitching.jpg'}, {'altText': 'AJIO Maroon Straight Sleeveless Tunic with Contrast Stitching', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/heb/hb3/14995742654494/ajio_maroon_straight_sleeveless_tunic_with_contrast_stitching.jpg'}, {'altText': 'AJIO Maroon Straight Sleeveless Tunic with Contrast Stitching', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h02/hf0/14995736231966/ajio_maroon_straight_sleeveless_tunic_with_contrast_stitching.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",59% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 328.00', 'displayformattedValue': 'Rs. 328', 'value': 328}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}",Sleeveless Tunic with Contrast Stitching,False,/ajio-sleeveless-tunic-with-contrast-stitching/p/460478782_maroon,"{'sizeVariants': ['S', 'M', 'L', 'XL']}",trends.ajio.com/ajio-sleeveless-tunic-with-contrast-stitching/p/460478782_maroon
