,id,brandId,brandName,styleNumber,colorCount,colorDefaultId,colorSpriteUrl,colorsById,colorIds,enticementIds,enticements,isBeauty,isNordstromMade,isOutfit,isFeatured,isUmap,mediaById,name,priceCurrencyCode,priceCountryCode,pricesById,productPageUrl,reviewCount,reviewStarRating,storeAvailability,PAGE_URL_COMPLETE
0,4996893,1137,ADIDAS,5651157,3,grey/ white,https://n.nordstrommedia.com/swatchsprite.jpg?photos=10_107028950-18_104059278-4_105116104,"{'black/ white': {'id': 'black/ white', 'label': 'BLACK/ WHITE', 'spriteIndex': 1, 'mediaIds': ['18_104059278', '0_104059280', '13_104059273'], 'standardColors': ['Black'], 'swatchMediaId': '18_104059278'}, 'grey/ white': {'id': 'grey/ white', 'label': 'GREY/ WHITE', 'spriteIndex': 0, 'mediaIds': ['10_107028950', '1_107026801', '10_107029530'], 'standardColors': ['Grey'], 'swatchMediaId': '10_107028950'}, 'white/ black': {'id': 'white/ black', 'label': 'WHITE/ BLACK', 'spriteIndex': 2, 'mediaIds': ['4_105116104', '9_105116109', '18_105116678'], 'standardColors': ['White'], 'swatchMediaId': '4_105116104'}}","['grey/ white', 'black/ white', 'white/ black']",['new'],,False,False,False,False,False,"{'0_104059280': {'id': '0_104059280', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_104059280.jpg'}, '10_107028950': {'id': '10_107028950', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_107028950.jpg'}, '10_107029530': {'id': '10_107029530', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_107029530.jpg'}, '13_104059273': {'id': '13_104059273', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_104059273.jpg'}, '18_104059278': {'id': '18_104059278', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_104059278.jpg'}, '18_105116678': {'id': '18_105116678', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_105116678.jpg'}, '1_107026801': {'id': '1_107026801', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_107026801.jpg'}, '4_105116104': {'id': '4_105116104', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_105116104.jpg'}, '9_105116109': {'id': '9_105116109', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_105116109.jpg'}}",adidas Tiro 19 Training Pants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '45.00', 'maxItemPrice': '45.00', 'priceValidUntilDate': None}}",/s/adidas-tiro-19-training-pants/4996893,3939,4.7,,www.nordstrom.com/s/adidas-tiro-19-training-pants/4996893
1,5449032,535,NIKE,5954482,1,egplnt/refsil,https://n.nordstrommedia.com/swatchsprite.jpg?photos=11_107207131,"{'egplnt/refsil': {'id': 'egplnt/refsil', 'label': 'EGPLNT/REFSIL', 'spriteIndex': 0, 'mediaIds': ['11_107207131', '2_107217522', '1_107217521'], 'standardColors': ['Purple'], 'swatchMediaId': '11_107207131'}}",['egplnt/refsil'],['new'],,False,False,False,False,False,"{'11_107207131': {'id': '11_107207131', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_107207131.jpg'}, '1_107217521': {'id': '1_107217521', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_107217521.jpg'}, '2_107217522': {'id': '2_107217522', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_107217522.jpg'}}",Nike Fast Dri-FIT High Waist Crop Running Tights,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '65.00', 'maxItemPrice': '65.00', 'priceValidUntilDate': None}}",/s/nike-fast-dri-fit-high-waist-crop-running-tights/5449032,1,3,,www.nordstrom.com/s/nike-fast-dri-fit-high-waist-crop-running-tights/5449032
2,5501329,16342,ENGLISH FACTORY,5989707,1,navy/ white,https://n.nordstrommedia.com/swatchsprite.jpg?photos=15_107631555,"{'navy/ white': {'id': 'navy/ white', 'label': 'NAVY/ WHITE', 'spriteIndex': 0, 'mediaIds': ['15_107631555', '11_107409151', '18_107111238'], 'standardColors': ['Blue'], 'swatchMediaId': '15_107631555'}}",['navy/ white'],['new'],,False,False,False,False,False,"{'11_107409151': {'id': '11_107409151', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_107409151.jpg'}, '15_107631555': {'id': '15_107631555', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_107631555.jpg'}, '18_107111238': {'id': '18_107111238', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_107111238.jpg'}}",English Factory Fringe Hem Wide Leg Pants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '90.00', 'maxItemPrice': '90.00', 'priceValidUntilDate': None}}",/s/english-factory-fringe-hem-wide-leg-pants/5501329,0,0,,www.nordstrom.com/s/english-factory-fringe-hem-wide-leg-pants/5501329
3,5502396,4597,VIGOSS,5990420,1,white,https://n.nordstrommedia.com/swatchsprite.jpg?photos=3_107723083,"{'white': {'id': 'white', 'label': 'WHITE', 'spriteIndex': 0, 'mediaIds': ['3_107723083', '13_107720713', '10_107720710'], 'standardColors': ['White'], 'swatchMediaId': '3_107723083'}}",['white'],['new'],,False,False,False,False,False,"{'10_107720710': {'id': '10_107720710', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_107720710.jpg'}, '13_107720713': {'id': '13_107720713', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_107720713.jpg'}, '3_107723083': {'id': '3_107723083', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_107723083.jpg'}}",Vigoss Ace High Waist Ripped Raw Hem Skinny Jeans,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '59.00', 'maxItemPrice': '59.00', 'priceValidUntilDate': None}}",/s/vigoss-ace-high-waist-ripped-raw-hem-skinny-jeans/5502396,0,0,,www.nordstrom.com/s/vigoss-ace-high-waist-ripped-raw-hem-skinny-jeans/5502396
4,5505852,5227,ZELLA,5992611,2,navy india ink calm dot print,https://n.nordstrommedia.com/swatchsprite.jpg?photos=11_107672371-6_107672386,"{'blue weather calm dot print': {'id': 'blue weather calm dot print', 'label': 'BLUE WEATHER CALM DOT PRINT', 'spriteIndex': 1, 'mediaIds': ['6_107672386', '11_107676191', '6_107673726'], 'standardColors': ['Blue'], 'swatchMediaId': '6_107672386'}, 'navy india ink calm dot print': {'id': 'navy india ink calm dot print', 'label': 'NAVY INDIA INK CALM DOT PRINT', 'spriteIndex': 0, 'mediaIds': ['11_107672371', '5_107676145', '3_107673723'], 'standardColors': ['Blue'], 'swatchMediaId': '11_107672371'}}","['navy india ink calm dot print', 'blue weather calm dot print']",['new'],,False,True,False,False,False,"{'11_107672371': {'id': '11_107672371', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_107672371.jpg'}, '11_107676191': {'id': '11_107676191', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_107676191.jpg'}, '3_107673723': {'id': '3_107673723', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_107673723.jpg'}, '5_107676145': {'id': '5_107676145', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_107676145.jpg'}, '6_107672386': {'id': '6_107672386', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_107672386.jpg'}, '6_107673726': {'id': '6_107673726', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_107673726.jpg'}}",Zella Live In Dot Print High Waist Pocket Crop Leggings,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '55.00', 'maxItemPrice': '55.00', 'priceValidUntilDate': None}}",/s/zella-live-in-dot-print-high-waist-pocket-crop-leggings/5505852,1,5,,www.nordstrom.com/s/zella-live-in-dot-print-high-waist-pocket-crop-leggings/5505852
5,5511045,814,BP,5995837,1,blue chinoise heather,https://n.nordstrommedia.com/swatchsprite.jpg?photos=5_107652205,"{'blue chinoise heather': {'id': 'blue chinoise heather', 'label': 'BLUE CHINOISE HEATHER', 'spriteIndex': 0, 'mediaIds': ['5_107652205', '0_107660280', '19_107660279'], 'standardColors': ['Blue'], 'swatchMediaId': '5_107652205'}}",['blue chinoise heather'],['new'],,False,True,False,False,False,"{'0_107660280': {'id': '0_107660280', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_107660280.jpg'}, '19_107660279': {'id': '19_107660279', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_107660279.jpg'}, '5_107652205': {'id': '5_107652205', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_107652205.jpg'}}",BP. All Weekend Crop Pants (Plus Size),USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '39.00', 'maxItemPrice': '39.00', 'priceValidUntilDate': None}}",/s/bp-all-weekend-crop-pants-plus-size/5511045,0,0,,www.nordstrom.com/s/bp-all-weekend-crop-pants-plus-size/5511045
6,5519333,11093,AKRIS,5998734,1,leblanc,https://n.nordstrommedia.com/swatchsprite.jpg?photos=6_107620106,"{'leblanc': {'id': 'leblanc', 'label': 'LEBLANC', 'spriteIndex': 0, 'mediaIds': ['6_107620106', '10_107620110', '9_107620109'], 'standardColors': ['White'], 'swatchMediaId': '6_107620106'}}",['leblanc'],['new'],,False,False,False,False,False,"{'10_107620110': {'id': '10_107620110', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_107620110.jpg'}, '6_107620106': {'id': '6_107620106', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_107620106.jpg'}, '9_107620109': {'id': '9_107620109', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_107620109.jpg'}}",Akris Flavin Double Weave Cotton Ankle Pants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '795.00', 'maxItemPrice': '795.00', 'priceValidUntilDate': None}}",/s/akris-flavin-double-weave-cotton-ankle-pants/5519333,0,0,,www.nordstrom.com/s/akris-flavin-double-weave-cotton-ankle-pants/5519333
7,5519337,11093,AKRIS,5998735,1,navy,https://n.nordstrommedia.com/swatchsprite.jpg?photos=19_107620119,"{'navy': {'id': 'navy', 'label': 'NAVY', 'spriteIndex': 0, 'mediaIds': ['19_107620119', '1_107620121', '0_107620120'], 'standardColors': ['Blue'], 'swatchMediaId': '19_107620119'}}",['navy'],['new'],,False,False,False,False,False,"{'0_107620120': {'id': '0_107620120', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_107620120.jpg'}, '19_107620119': {'id': '19_107620119', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_107620119.jpg'}, '1_107620121': {'id': '1_107620121', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_107620121.jpg'}}",Akris Farida Windowpane Check Double Face Wool Blend Crepe Pants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '1,190.00', 'maxItemPrice': '1,190.00', 'priceValidUntilDate': None}}",/s/akris-farida-windowpane-check-double-face-wool-blend-crepe-pants/5519337,0,0,,www.nordstrom.com/s/akris-farida-windowpane-check-double-face-wool-blend-crepe-pants/5519337
8,5519877,485,MAVI,5999184,1,light organic move,https://n.nordstrommedia.com/swatchsprite.jpg?photos=5_106937525,"{'light organic move': {'id': 'light organic move', 'label': 'LIGHT ORGANIC MOVE', 'spriteIndex': 0, 'mediaIds': ['5_106937525', '11_106937531', '9_106937529'], 'standardColors': ['Blue'], 'swatchMediaId': '5_106937525'}}",['light organic move'],['new'],,False,False,False,False,False,"{'11_106937531': {'id': '11_106937531', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_106937531.jpg'}, '5_106937525': {'id': '5_106937525', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_106937525.jpg'}, '9_106937529': {'id': '9_106937529', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_106937529.jpg'}}",Mavi Jeans Alissa Skinny Jeans,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '118.00', 'maxItemPrice': '118.00', 'priceValidUntilDate': None}}",/s/mavi-jeans-alissa-skinny-jeans/5519877,0,0,,www.nordstrom.com/s/mavi-jeans-alissa-skinny-jeans/5519877
9,5539929,842,HALOGEN,6011444,4,rust sequoia,https://n.nordstrommedia.com/swatchsprite.jpg?photos=15_107682295-17_107682297-12_107682292-5_107682265,"{'beige biscuit': {'id': 'beige biscuit', 'label': 'BEIGE BISCUIT', 'spriteIndex': 1, 'mediaIds': ['17_107682297', '16_107665616'], 'standardColors': ['Beige'], 'swatchMediaId': '17_107682297'}, 'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 2, 'mediaIds': ['12_107682292', '9_107665609'], 'standardColors': ['Black'], 'swatchMediaId': '12_107682292'}, 'navy night': {'id': 'navy night', 'label': 'NAVY NIGHT', 'spriteIndex': 3, 'mediaIds': ['5_107682265', '0_107665620'], 'standardColors': ['Blue'], 'swatchMediaId': '5_107682265'}, 'rust sequoia': {'id': 'rust sequoia', 'label': 'RUST SEQUOIA', 'spriteIndex': 0, 'mediaIds': ['15_107682295', '15_107679875'], 'standardColors': ['Brown'], 'swatchMediaId': '15_107682295'}}","['rust sequoia', 'beige biscuit', 'black', 'navy night']",['new'],,False,True,False,False,False,"{'0_107665620': {'id': '0_107665620', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_107665620.jpg'}, '12_107682292': {'id': '12_107682292', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_107682292.jpg'}, '15_107679875': {'id': '15_107679875', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_107679875.jpg'}, '15_107682295': {'id': '15_107682295', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_107682295.jpg'}, '16_107665616': {'id': '16_107665616', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/16/_107665616.jpg'}, '17_107682297': {'id': '17_107682297', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/17/_107682297.jpg'}, '5_107682265': {'id': '5_107682265', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_107682265.jpg'}, '9_107665609': {'id': '9_107665609', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_107665609.jpg'}}",Halogen® Flare Leg Pants (Regular & Petite),USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '89.00', 'maxItemPrice': '89.00', 'priceValidUntilDate': None}}",/s/halogen-flare-leg-pants-regular-petite/5539929,0,0,,www.nordstrom.com/s/halogen-flare-leg-pants-regular-petite/5539929
10,5540978,535,NIKE,6010919,1,bordeaux,https://n.nordstrommedia.com/swatchsprite.jpg?photos=2_107710882,"{'bordeaux': {'id': 'bordeaux', 'label': 'BORDEAUX', 'spriteIndex': 0, 'mediaIds': ['2_107710882', '6_107710886', '4_107710884'], 'standardColors': ['Red', 'Purple'], 'swatchMediaId': '2_107710882'}}",['bordeaux'],['new'],,False,False,False,False,False,"{'2_107710882': {'id': '2_107710882', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_107710882.jpg'}, '4_107710884': {'id': '4_107710884', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_107710884.jpg'}, '6_107710886': {'id': '6_107710886', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_107710886.jpg'}}",Nike Jordan Flight Women's Fleece Pants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '80.00', 'maxItemPrice': '80.00', 'priceValidUntilDate': None}}",/s/nike-jordan-flight-womens-fleece-pants/5540978,0,0,,www.nordstrom.com/s/nike-jordan-flight-womens-fleece-pants/5540978
11,5543608,842,HALOGEN,6013421,1,purple multi check,https://n.nordstrommedia.com/swatchsprite.jpg?photos=14_107650334,"{'purple multi check': {'id': 'purple multi check', 'label': 'PURPLE MULTI CHECK', 'spriteIndex': 0, 'mediaIds': ['14_107650334', '8_107659328', '2_107602682'], 'standardColors': ['Purple'], 'swatchMediaId': '14_107650334'}}",['purple multi check'],['new'],,False,True,False,False,False,"{'14_107650334': {'id': '14_107650334', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_107650334.jpg'}, '2_107602682': {'id': '2_107602682', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_107602682.jpg'}, '8_107659328': {'id': '8_107659328', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_107659328.jpg'}}",Halogen® Stovepipe Pants (Plus Size),USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '89.00', 'maxItemPrice': '89.00', 'priceValidUntilDate': None}}",/s/halogen-stovepipe-pants-plus-size/5543608,1,3,,www.nordstrom.com/s/halogen-stovepipe-pants-plus-size/5543608
12,5556192,5227,ZELLA,6021465,1,green rosin lucy zebra print,https://n.nordstrommedia.com/swatchsprite.jpg?photos=8_107686708,"{'green rosin lucy zebra print': {'id': 'green rosin lucy zebra print', 'label': 'GREEN ROSIN LUCY ZEBRA PRINT', 'spriteIndex': 0, 'mediaIds': ['8_107686708', '13_107686713', '12_107686712'], 'standardColors': ['Green'], 'swatchMediaId': '8_107686708'}}",['green rosin lucy zebra print'],['new'],,False,True,False,False,False,"{'12_107686712': {'id': '12_107686712', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_107686712.jpg'}, '13_107686713': {'id': '13_107686713', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_107686713.jpg'}, '8_107686708': {'id': '8_107686708', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_107686708.jpg'}}",Zella Live In Zebra Print High Waist Crop Leggings,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '69.00', 'maxItemPrice': '69.00', 'priceValidUntilDate': None}}",/s/zella-live-in-zebra-print-high-waist-crop-leggings/5556192,1,5,,www.nordstrom.com/s/zella-live-in-zebra-print-high-waist-crop-leggings/5556192
13,5558959,20561,SIGNIFICANT OTHER,6023661,1,ivory,https://n.nordstrommedia.com/swatchsprite.jpg?photos=9_107573969,"{'ivory': {'id': 'ivory', 'label': 'IVORY', 'spriteIndex': 0, 'mediaIds': ['9_107573969', '8_107573968', '2_107573362'], 'standardColors': ['Offwhite'], 'swatchMediaId': '9_107573969'}}",['ivory'],['new'],,False,False,False,False,False,"{'2_107573362': {'id': '2_107573362', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_107573362.jpg'}, '8_107573968': {'id': '8_107573968', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_107573968.jpg'}, '9_107573969': {'id': '9_107573969', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_107573969.jpg'}}",Significant Other Sia Twist Jumpsuit,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '270.00', 'maxItemPrice': '270.00', 'priceValidUntilDate': None}}",/s/significant-other-sia-twist-jumpsuit/5558959,0,0,,www.nordstrom.com/s/significant-other-sia-twist-jumpsuit/5558959
14,5559224,4597,VIGOSS,6023880,1,light wash,https://n.nordstrommedia.com/swatchsprite.jpg?photos=16_107723076,"{'light wash': {'id': 'light wash', 'label': 'LIGHT WASH', 'spriteIndex': 0, 'mediaIds': ['16_107723076', '7_107720727', '0_107720720'], 'standardColors': ['Blue'], 'swatchMediaId': '16_107723076'}}",['light wash'],['new'],,False,False,False,False,False,"{'0_107720720': {'id': '0_107720720', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_107720720.jpg'}, '16_107723076': {'id': '16_107723076', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/16/_107723076.jpg'}, '7_107720727': {'id': '7_107720727', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_107720727.jpg'}}",Vigoss Frankie High Waist Distressed Ankle Straight Leg Jeans,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '68.00', 'maxItemPrice': '68.00', 'priceValidUntilDate': None}}",/s/vigoss-frankie-high-waist-distressed-ankle-straight-leg-jeans/5559224,0,0,,www.nordstrom.com/s/vigoss-frankie-high-waist-distressed-ankle-straight-leg-jeans/5559224
15,5570031,18563,ALL IN FAVOR,6031983,1,olive,https://n.nordstrommedia.com/swatchsprite.jpg?photos=4_107706584,"{'olive': {'id': 'olive', 'label': 'OLIVE', 'spriteIndex': 0, 'mediaIds': ['4_107706584', '19_107706599'], 'standardColors': ['Green'], 'swatchMediaId': '4_107706584'}}",['olive'],['new'],,False,False,False,False,False,"{'19_107706599': {'id': '19_107706599', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_107706599.jpg'}, '4_107706584': {'id': '4_107706584', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_107706584.jpg'}}",All in Favor Belted Wide Leg Pants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '49.00', 'maxItemPrice': '49.00', 'priceValidUntilDate': None}}",/s/all-in-favor-belted-wide-leg-pants/5570031,0,0,,www.nordstrom.com/s/all-in-favor-belted-wide-leg-pants/5570031
16,5577094,10989,1822 Denim,6037213,1,jeremy,https://n.nordstrommedia.com/swatchsprite.jpg?photos=4_107700344,"{'jeremy': {'id': 'jeremy', 'label': 'JEREMY', 'spriteIndex': 0, 'mediaIds': ['4_107700344', '14_107702134', '15_107700355'], 'standardColors': ['Blue'], 'swatchMediaId': '4_107700344'}}",['jeremy'],['new'],,False,False,False,False,False,"{'14_107702134': {'id': '14_107702134', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_107702134.jpg'}, '15_107700355': {'id': '15_107700355', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_107700355.jpg'}, '4_107700344': {'id': '4_107700344', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_107700344.jpg'}}",1822 Denim Cuffed Crop Skinny Jeans (Jeremy),USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '42.00', 'maxItemPrice': '42.00', 'priceValidUntilDate': None}}",/s/1822-denim-cuffed-crop-skinny-jeans-jeremy/5577094,0,0,,www.nordstrom.com/s/1822-denim-cuffed-crop-skinny-jeans-jeremy/5577094
17,5587914,7549,AVIATOR NATION,6044109,1,tie dye neon yellow,https://n.nordstrommedia.com/swatchsprite.jpg?photos=19_107687819,"{'tie dye neon yellow': {'id': 'tie dye neon yellow', 'label': 'TIE DYE NEON YELLOW', 'spriteIndex': 0, 'mediaIds': ['19_107687819', '0_107692620', '2_107687822'], 'standardColors': ['Yellow'], 'swatchMediaId': '19_107687819'}}",['tie dye neon yellow'],['new'],,False,False,False,False,False,"{'0_107692620': {'id': '0_107692620', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_107692620.jpg'}, '19_107687819': {'id': '19_107687819', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_107687819.jpg'}, '2_107687822': {'id': '2_107687822', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_107687822.jpg'}}",Aviator Nation Tie Dye Sweatpants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '152.00', 'maxItemPrice': '152.00', 'priceValidUntilDate': None}}",/s/aviator-nation-tie-dye-sweatpants/5587914,0,0,,www.nordstrom.com/s/aviator-nation-tie-dye-sweatpants/5587914
