,id,brandId,brandName,styleNumber,colorCount,colorDefaultId,colorSpriteUrl,colorsById,colorIds,enticementIds,enticements,isBeauty,isNordstromMade,isOutfit,isFeatured,isUmap,mediaById,name,priceCurrencyCode,priceCountryCode,pricesById,productPageUrl,reviewCount,reviewStarRating,storeAvailability,PAGE_URL_COMPLETE
0,4916091,6780,EQUIPMENT,5312294_9,1,bright white,https://n.nordstrommedia.com/swatchsprite.jpg?photos=19_101989759,"{'bright white': {'id': 'bright white', 'label': 'BRIGHT WHITE', 'spriteIndex': 0, 'mediaIds': ['19_101989759', '4_100843964', '1_100847761'], 'standardColors': ['White'], 'swatchMediaId': '19_101989759'}}",['bright white'],['new'],,False,False,False,False,False,"{'19_101989759': {'id': '19_101989759', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_101989759.jpg'}, '1_100847761': {'id': '1_100847761', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_100847761.jpg'}, '4_100843964': {'id': '4_100843964', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_100843964.jpg'}}",Equipment Essential Silk Blouse,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '230.00', 'maxItemPrice': '230.00', 'priceValidUntilDate': None}}",/s/equipment-essential-silk-blouse/4916091,20,4.2,,www.nordstrom.com/s/equipment-essential-silk-blouse/4916091
1,5281322,6780,EQUIPMENT,5847966,1,natural,https://n.nordstrommedia.com/swatchsprite.jpg?photos=11_105463211,"{'natural': {'id': 'natural', 'label': 'NATURAL', 'spriteIndex': 0, 'mediaIds': ['11_105463211', '18_105463898', '14_105463754'], 'standardColors': ['Beige'], 'swatchMediaId': '11_105463211'}}",['natural'],['new'],,False,False,False,False,False,"{'11_105463211': {'id': '11_105463211', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_105463211.jpg'}, '14_105463754': {'id': '14_105463754', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_105463754.jpg'}, '18_105463898': {'id': '18_105463898', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_105463898.jpg'}}",Equipment Layla Leopard Print Silk Camisole,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '148.00', 'maxItemPrice': '148.00', 'priceValidUntilDate': None}}",/s/equipment-layla-leopard-print-silk-camisole/5281322,9,4.3,,www.nordstrom.com/s/equipment-layla-leopard-print-silk-camisole/5281322
2,5468348,6780,EQUIPMENT,5543211_1,1,black,https://n.nordstrommedia.com/swatchsprite.jpg?photos=6_102457746,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 0, 'mediaIds': ['6_102457746', '0_102464140', '2_102464082'], 'standardColors': ['Black'], 'swatchMediaId': '6_102457746'}}",['black'],['new'],,False,False,False,False,False,"{'0_102464140': {'id': '0_102464140', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_102464140.jpg'}, '2_102464082': {'id': '2_102464082', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_102464082.jpg'}, '6_102457746': {'id': '6_102457746', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_102457746.jpg'}}",Equipment Layla Star Print Silk Camisole,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '108.00', 'maxItemPrice': '108.00', 'priceValidUntilDate': None}}",/s/equipment-layla-star-print-silk-camisole/5468348,2,4.5,,www.nordstrom.com/s/equipment-layla-star-print-silk-camisole/5468348
3,5513187,9394,TREASURE AND BOND,5996931,1,burgundy russet,https://n.nordstrommedia.com/swatchsprite.jpg?photos=8_107611048,"{'burgundy russet': {'id': 'burgundy russet', 'label': 'BURGUNDY RUSSET', 'spriteIndex': 0, 'mediaIds': ['8_107611048', '14_107611054', '9_107611049'], 'standardColors': ['Red', 'Purple'], 'swatchMediaId': '8_107611048'}}",['burgundy russet'],['new'],,False,True,False,False,False,"{'14_107611054': {'id': '14_107611054', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_107611054.jpg'}, '8_107611048': {'id': '8_107611048', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_107611048.jpg'}, '9_107611049': {'id': '9_107611049', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_107611049.jpg'}}",Treasure & Bond Tie High/Low Shirt,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '69.00', 'maxItemPrice': '69.00', 'priceValidUntilDate': None}}",/s/treasure-bond-tie-high-low-shirt/5513187,0,0,,www.nordstrom.com/s/treasure-bond-tie-high-low-shirt/5513187
4,5513190,9394,TREASURE AND BOND,5996930,1,green stella plaid,https://n.nordstrommedia.com/swatchsprite.jpg?photos=2_107605342,"{'green stella plaid': {'id': 'green stella plaid', 'label': 'GREEN STELLA PLAID', 'spriteIndex': 0, 'mediaIds': ['2_107605342', '4_107605344', '5_107605325'], 'standardColors': ['Green'], 'swatchMediaId': '2_107605342'}}",['green stella plaid'],['new'],,False,True,False,False,False,"{'2_107605342': {'id': '2_107605342', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_107605342.jpg'}, '4_107605344': {'id': '4_107605344', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_107605344.jpg'}, '5_107605325': {'id': '5_107605325', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_107605325.jpg'}}",Treasure & Bond Check Short Sleeve Shirt,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '59.00', 'maxItemPrice': '59.00', 'priceValidUntilDate': None}}",/s/treasure-bond-check-short-sleeve-shirt/5513190,0,0,,www.nordstrom.com/s/treasure-bond-check-short-sleeve-shirt/5513190
5,5513197,9394,TREASURE AND BOND,5996935,1,navy moody floral,https://n.nordstrommedia.com/swatchsprite.jpg?photos=0_107601640,"{'navy moody floral': {'id': 'navy moody floral', 'label': 'NAVY MOODY FLORAL', 'spriteIndex': 0, 'mediaIds': ['0_107601640', '3_107601643', '18_107601638'], 'standardColors': ['Blue'], 'swatchMediaId': '0_107601640'}}",['navy moody floral'],['new'],,False,True,False,False,False,"{'0_107601640': {'id': '0_107601640', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_107601640.jpg'}, '18_107601638': {'id': '18_107601638', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_107601638.jpg'}, '3_107601643': {'id': '3_107601643', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_107601643.jpg'}}",Treasure & Bond Floral Print Puff Sleeve Blouse,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '69.00', 'maxItemPrice': '69.00', 'priceValidUntilDate': None}}",/s/treasure-bond-floral-print-puff-sleeve-blouse/5513197,0,0,,www.nordstrom.com/s/treasure-bond-floral-print-puff-sleeve-blouse/5513197
6,5513950,814,BP,5997370,1,ivory lemon floral prnt,https://n.nordstrommedia.com/swatchsprite.jpg?photos=1_107706521,"{'ivory lemon floral prnt': {'id': 'ivory lemon floral prnt', 'label': 'IVORY LEMON FLORAL PRNT', 'spriteIndex': 0, 'mediaIds': ['1_107706521', '5_107705685'], 'standardColors': ['Offwhite'], 'swatchMediaId': '1_107706521'}}",['ivory lemon floral prnt'],['new'],,False,True,False,False,False,"{'1_107706521': {'id': '1_107706521', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_107706521.jpg'}, '5_107705685': {'id': '5_107705685', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_107705685.jpg'}}",BP. Print Mesh T-Shirt,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '39.00', 'maxItemPrice': '39.00', 'priceValidUntilDate': None}}",/s/bp-print-mesh-t-shirt/5513950,0,0,,www.nordstrom.com/s/bp-print-mesh-t-shirt/5513950
7,5514872,9257,CHELSEA28,5997438,3,olive sarma,https://n.nordstrommedia.com/swatchsprite.jpg?photos=3_107601943-5_107601945-1_107602581,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 1, 'mediaIds': ['5_107601945', '6_107601946', '16_107601936'], 'standardColors': ['Black'], 'swatchMediaId': '5_107601945'}, 'ivory': {'id': 'ivory', 'label': 'IVORY', 'spriteIndex': 2, 'mediaIds': ['1_107602581', '5_107602585', '15_107602575'], 'standardColors': ['Offwhite'], 'swatchMediaId': '1_107602581'}, 'olive sarma': {'id': 'olive sarma', 'label': 'OLIVE SARMA', 'spriteIndex': 0, 'mediaIds': ['3_107601943', '4_107601944', '13_107601933'], 'standardColors': ['Green'], 'swatchMediaId': '3_107601943'}}","['olive sarma', 'black', 'ivory']",['new'],,False,True,False,False,False,"{'13_107601933': {'id': '13_107601933', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_107601933.jpg'}, '15_107602575': {'id': '15_107602575', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_107602575.jpg'}, '16_107601936': {'id': '16_107601936', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/16/_107601936.jpg'}, '1_107602581': {'id': '1_107602581', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_107602581.jpg'}, '3_107601943': {'id': '3_107601943', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_107601943.jpg'}, '4_107601944': {'id': '4_107601944', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_107601944.jpg'}, '5_107601945': {'id': '5_107601945', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_107601945.jpg'}, '5_107602585': {'id': '5_107602585', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_107602585.jpg'}, '6_107601946': {'id': '6_107601946', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_107601946.jpg'}}",Chelsea28 Rib Trim Top,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '69.00', 'maxItemPrice': '69.00', 'priceValidUntilDate': None}}",/s/chelsea28-rib-trim-top/5514872,0,0,,www.nordstrom.com/s/chelsea28-rib-trim-top/5514872
8,5514873,9257,CHELSEA28,5997439,3,red rumba,https://n.nordstrommedia.com/swatchsprite.jpg?photos=16_107603836-1_107603901-13_107605013,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 1, 'mediaIds': ['1_107603901', '3_107603903', '2_107603902'], 'standardColors': ['Black'], 'swatchMediaId': '1_107603901'}, 'pink smoke': {'id': 'pink smoke', 'label': 'PINK SMOKE', 'spriteIndex': 2, 'mediaIds': ['13_107605013', '14_107605014', '12_107604352'], 'standardColors': ['Pink'], 'swatchMediaId': '13_107605013'}, 'red rumba': {'id': 'red rumba', 'label': 'RED RUMBA', 'spriteIndex': 0, 'mediaIds': ['16_107603836', '18_107603838', '17_107603837'], 'standardColors': ['Red'], 'swatchMediaId': '16_107603836'}}","['red rumba', 'black', 'pink smoke']",['new'],,False,True,False,False,False,"{'12_107604352': {'id': '12_107604352', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_107604352.jpg'}, '13_107605013': {'id': '13_107605013', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_107605013.jpg'}, '14_107605014': {'id': '14_107605014', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_107605014.jpg'}, '16_107603836': {'id': '16_107603836', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/16/_107603836.jpg'}, '17_107603837': {'id': '17_107603837', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/17/_107603837.jpg'}, '18_107603838': {'id': '18_107603838', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_107603838.jpg'}, '1_107603901': {'id': '1_107603901', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_107603901.jpg'}, '2_107603902': {'id': '2_107603902', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_107603902.jpg'}, '3_107603903': {'id': '3_107603903', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_107603903.jpg'}}",Chelsea28 Pleat Hem Tank,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '59.00', 'maxItemPrice': '59.00', 'priceValidUntilDate': None}}",/s/chelsea28-pleat-hem-tank/5514873,0,0,,www.nordstrom.com/s/chelsea28-pleat-hem-tank/5514873
9,5520883,838,CASLON,5999928,3,white,https://n.nordstrommedia.com/swatchsprite.jpg?photos=16_107699156-17_107682157-9_107711149,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 1, 'mediaIds': ['17_107682157', '7_107689827', '6_107689826'], 'standardColors': ['Black'], 'swatchMediaId': '17_107682157'}, 'teal shore': {'id': 'teal shore', 'label': 'TEAL SHORE', 'spriteIndex': 2, 'mediaIds': ['9_107711149', '11_107713811', '17_107703617'], 'standardColors': ['Blue', 'Green'], 'swatchMediaId': '9_107711149'}, 'white': {'id': 'white', 'label': 'WHITE', 'spriteIndex': 0, 'mediaIds': ['16_107699156', '18_107703618', '17_107703617'], 'standardColors': ['White'], 'swatchMediaId': '16_107699156'}}","['white', 'black', 'teal shore']",['new'],,False,True,False,False,False,"{'11_107713811': {'id': '11_107713811', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_107713811.jpg'}, '16_107699156': {'id': '16_107699156', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/16/_107699156.jpg'}, '17_107682157': {'id': '17_107682157', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/17/_107682157.jpg'}, '17_107703617': {'id': '17_107703617', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/17/_107703617.jpg'}, '18_107703618': {'id': '18_107703618', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_107703618.jpg'}, '6_107689826': {'id': '6_107689826', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_107689826.jpg'}, '7_107689827': {'id': '7_107689827', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_107689827.jpg'}, '9_107711149': {'id': '9_107711149', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_107711149.jpg'}}",Caslon® Inset Trim V-Neck Tank,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '29.00', 'maxItemPrice': '29.00', 'priceValidUntilDate': None}}",/s/caslon-inset-trim-v-neck-tank/5520883,0,0,,www.nordstrom.com/s/caslon-inset-trim-v-neck-tank/5520883
10,5531462,838,CASLON,6005931,2,teal shore,https://n.nordstrommedia.com/swatchsprite.jpg?photos=3_107699403-5_107699445,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 1, 'mediaIds': ['5_107699445', '5_107705045'], 'standardColors': ['Black'], 'swatchMediaId': '5_107699445'}, 'teal shore': {'id': 'teal shore', 'label': 'TEAL SHORE', 'spriteIndex': 0, 'mediaIds': ['3_107699403', '6_107674486'], 'standardColors': ['Blue', 'Green'], 'swatchMediaId': '3_107699403'}}","['teal shore', 'black']",['new'],,False,True,False,False,False,"{'3_107699403': {'id': '3_107699403', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_107699403.jpg'}, '5_107699445': {'id': '5_107699445', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_107699445.jpg'}, '5_107705045': {'id': '5_107705045', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_107705045.jpg'}, '6_107674486': {'id': '6_107674486', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_107674486.jpg'}}",Caslon® Inset Trim Tank Top (Plus Size),USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '29.00', 'maxItemPrice': '29.00', 'priceValidUntilDate': None}}",/s/caslon-inset-trim-tank-top-plus-size/5531462,0,0,,www.nordstrom.com/s/caslon-inset-trim-tank-top-plus-size/5531462
11,5531476,838,CASLON,6005937,1,white,https://n.nordstrommedia.com/swatchsprite.jpg?photos=11_107713311,"{'white': {'id': 'white', 'label': 'WHITE', 'spriteIndex': 0, 'mediaIds': ['11_107713311', '16_107713316', '15_107713315'], 'standardColors': ['White'], 'swatchMediaId': '11_107713311'}}",['white'],['new'],,False,True,False,False,False,"{'11_107713311': {'id': '11_107713311', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_107713311.jpg'}, '15_107713315': {'id': '15_107713315', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_107713315.jpg'}, '16_107713316': {'id': '16_107713316', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/16/_107713316.jpg'}}",Caslon® Eyelet Sleeve Knit Top (Plus Size),USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '49.00', 'maxItemPrice': '49.00', 'priceValidUntilDate': None}}",/s/caslon-eyelet-sleeve-knit-top-plus-size/5531476,0,0,,www.nordstrom.com/s/caslon-eyelet-sleeve-knit-top-plus-size/5531476
12,5531477,838,CASLON,6005942,4,yellow meringue,https://n.nordstrommedia.com/swatchsprite.jpg?photos=11_107699471-8_107699468-5_107699465-14_107699474,"{'blue plume': {'id': 'blue plume', 'label': 'BLUE PLUME', 'spriteIndex': 1, 'mediaIds': ['8_107699468', '9_107704609', '3_107704603'], 'standardColors': ['Blue'], 'swatchMediaId': '8_107699468'}, 'navy peacoat': {'id': 'navy peacoat', 'label': 'NAVY PEACOAT', 'spriteIndex': 2, 'mediaIds': ['5_107699465', '1_107704581', '8_107704568'], 'standardColors': ['Blue'], 'swatchMediaId': '5_107699465'}, 'red chateaux': {'id': 'red chateaux', 'label': 'RED CHATEAUX', 'spriteIndex': 3, 'mediaIds': ['14_107699474', '12_107704872', '7_107704867'], 'standardColors': ['Red'], 'swatchMediaId': '14_107699474'}, 'yellow meringue': {'id': 'yellow meringue', 'label': 'YELLOW MERINGUE', 'spriteIndex': 0, 'mediaIds': ['11_107699471', '6_107704626', '4_107704624'], 'standardColors': ['Yellow'], 'swatchMediaId': '11_107699471'}}","['yellow meringue', 'blue plume', 'navy peacoat', 'red chateaux']",['new'],,False,True,False,False,False,"{'11_107699471': {'id': '11_107699471', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_107699471.jpg'}, '12_107704872': {'id': '12_107704872', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_107704872.jpg'}, '14_107699474': {'id': '14_107699474', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_107699474.jpg'}, '1_107704581': {'id': '1_107704581', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_107704581.jpg'}, '3_107704603': {'id': '3_107704603', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_107704603.jpg'}, '4_107704624': {'id': '4_107704624', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_107704624.jpg'}, '5_107699465': {'id': '5_107699465', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_107699465.jpg'}, '6_107704626': {'id': '6_107704626', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_107704626.jpg'}, '7_107704867': {'id': '7_107704867', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_107704867.jpg'}, '8_107699468': {'id': '8_107699468', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_107699468.jpg'}, '8_107704568': {'id': '8_107704568', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_107704568.jpg'}, '9_107704609': {'id': '9_107704609', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_107704609.jpg'}}",Caslon® Embroidered Sleeve Knit Top (Plus Size),USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '39.00', 'maxItemPrice': '39.00', 'priceValidUntilDate': None}}",/s/caslon-embroidered-sleeve-knit-top-plus-size/5531477,0,0,,www.nordstrom.com/s/caslon-embroidered-sleeve-knit-top-plus-size/5531477
13,5541695,7664,TEN SIXTY SHERMAN,6012252,2,yellow floral,https://n.nordstrommedia.com/swatchsprite.jpg?photos=14_107467454-17_107468597,"{'orange': {'id': 'orange', 'label': 'ORANGE', 'spriteIndex': 1, 'mediaIds': ['17_107468597', '14_107468654'], 'standardColors': ['Orange'], 'swatchMediaId': '17_107468597'}, 'yellow floral': {'id': 'yellow floral', 'label': 'YELLOW FLORAL', 'spriteIndex': 0, 'mediaIds': ['14_107467454', '12_107467492'], 'standardColors': ['Yellow'], 'swatchMediaId': '14_107467454'}}","['yellow floral', 'orange']",['new'],,False,False,False,False,False,"{'12_107467492': {'id': '12_107467492', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_107467492.jpg'}, '14_107467454': {'id': '14_107467454', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_107467454.jpg'}, '14_107468654': {'id': '14_107468654', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_107468654.jpg'}, '17_107468597': {'id': '17_107468597', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/17/_107468597.jpg'}}",Ten Sixty Sherman Print Eyelet Trim Tank,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '35.00', 'maxItemPrice': '35.00', 'priceValidUntilDate': None}}",/s/ten-sixty-sherman-print-eyelet-trim-tank/5541695,0,0,,www.nordstrom.com/s/ten-sixty-sherman-print-eyelet-trim-tank/5541695
14,5541696,7664,TEN SIXTY SHERMAN,6012253,1,black,https://n.nordstrommedia.com/swatchsprite.jpg?photos=15_107709735,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 0, 'mediaIds': ['15_107709735', '8_107709448'], 'standardColors': ['Black'], 'swatchMediaId': '15_107709735'}}",['black'],['new'],,False,False,False,False,False,"{'15_107709735': {'id': '15_107709735', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_107709735.jpg'}, '8_107709448': {'id': '8_107709448', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_107709448.jpg'}}",Ten Sixty Sherman Notch Neck Bodysuit,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '29.00', 'maxItemPrice': '29.00', 'priceValidUntilDate': None}}",/s/ten-sixty-sherman-notch-neck-bodysuit/5541696,0,0,,www.nordstrom.com/s/ten-sixty-sherman-notch-neck-bodysuit/5541696
