,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,461125151002,Coupon Applicable,"{'brandName': 'GESPO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h7b/h71/15896802000926/-286Wx359H-461125151-black-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461125151_black', 'sizeFlag': False}","[{'altText': 'GESPO Black Classic Shirt with Curved Hemline', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2b/h00/15896802459678/gespo_black_classic_shirt_with_curved_hemline.jpg'}, {'altText': 'GESPO Black Classic Shirt with Curved Hemline', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he6/h92/15896809734174/gespo_black_classic_shirt_with_curved_hemline.jpg'}, {'altText': 'GESPO Black Classic Shirt with Curved Hemline', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h7b/h71/15896802000926/gespo_black_classic_shirt_with_curved_hemline.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 450.00', 'displayformattedValue': 'Rs. 450', 'value': 450}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 899.00', 'displayformattedValue': 'Rs. 899', 'value': 899}",Shirt with Curved Hemline,False,/gespo-shirt-with-curved-hemline/p/461125151_black,"{'sizeVariants': ['S', 'M']}",www.ajio.com/gespo-shirt-with-curved-hemline/p/461125151_black
1,461125300002,Coupon Applicable,"{'brandName': 'GESPO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hc2/h98/15892077772830/-286Wx359H-461125300-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461125300_white', 'sizeFlag': False}","[{'altText': 'GESPO White Classic Cotton Shirt with Mandarin Collar', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h19/he4/15892078329886/gespo_white_classic_cotton_shirt_with_mandarin_collar.jpg'}, {'altText': 'GESPO White Classic Cotton Shirt with Mandarin Collar', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h68/h18/15892083834910/gespo_white_classic_cotton_shirt_with_mandarin_collar.jpg'}, {'altText': 'GESPO White Classic Cotton Shirt with Mandarin Collar', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc2/h98/15892077772830/gespo_white_classic_cotton_shirt_with_mandarin_collar.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 450.00', 'displayformattedValue': 'Rs. 450', 'value': 450}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 899.00', 'displayformattedValue': 'Rs. 899', 'value': 899}",Cotton Shirt with Mandarin Collar,False,/gespo-cotton-shirt-with-mandarin-collar/p/461125300_white,"{'sizeVariants': ['S', 'XL']}",www.ajio.com/gespo-cotton-shirt-with-mandarin-collar/p/461125300_white
2,441036973003,Coupon Applicable,"{'brandName': 'NETPLAY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h49/hf1/15684158914590/-286Wx359H-441036973-lightyellow-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441036973_lightyellow', 'sizeFlag': False}","[{'altText': 'NETPLAY Yellow Stylised Checked Slim Fit Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h78/h92/15684159471646/netplay_yellow_stylised_checked_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'NETPLAY Yellow Stylised Checked Slim Fit Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h64/he7/15684165763102/netplay_yellow_stylised_checked_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'NETPLAY Yellow Stylised Checked Slim Fit Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h49/hf1/15684158914590/netplay_yellow_stylised_checked_slim_fit_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Checked Slim Fit Shirt with Patch Pocket,False,/netplay-checked-slim-fit-shirt-with-patch-pocket/p/441036973_lightyellow,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/netplay-checked-slim-fit-shirt-with-patch-pocket/p/441036973_lightyellow
3,461035539001,Coupon Applicable,"{'brandName': 'STAKE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hcc/h5c/14385476239390/-286Wx359H-461035539-red-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461035539_red', 'sizeFlag': False}","[{'altText': 'STAKE Red Classic Solid Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha3/h1a/14385477779486/stake_red_classic_solid_shirt_with_patch_pocket.jpg'}, {'altText': 'STAKE Red Classic Solid Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h62/h78/14385502519326/stake_red_classic_solid_shirt_with_patch_pocket.jpg'}, {'altText': 'STAKE Red Classic Solid Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hcc/h5c/14385476239390/stake_red_classic_solid_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 779.00', 'displayformattedValue': 'Rs. 779', 'value': 779}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,299.00', 'displayformattedValue': 'Rs. 1,299', 'value': 1299}",Solid Shirt with Patch Pocket,False,/stake-solid-shirt-with-patch-pocket/p/461035539_red,{'sizeVariants': ['M']},www.ajio.com/stake-solid-shirt-with-patch-pocket/p/461035539_red
4,461125413001,Coupon Applicable,"{'brandName': 'GESPO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h2a/ha5/15891405078558/-286Wx359H-461125413-yellow-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461125413_yellow', 'sizeFlag': False}","[{'altText': 'GESPO Yellow Classic Cotton Shirt with Mandarin Collar', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2e/hd1/15891405504542/gespo_yellow_classic_cotton_shirt_with_mandarin_collar.jpg'}, {'altText': 'GESPO Yellow Classic Cotton Shirt with Mandarin Collar', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd9/ha2/15891412090910/gespo_yellow_classic_cotton_shirt_with_mandarin_collar.jpg'}, {'altText': 'GESPO Yellow Classic Cotton Shirt with Mandarin Collar', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2a/ha5/15891405078558/gespo_yellow_classic_cotton_shirt_with_mandarin_collar.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 450.00', 'displayformattedValue': 'Rs. 450', 'value': 450}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 899.00', 'displayformattedValue': 'Rs. 899', 'value': 899}",Cotton Shirt with Mandarin Collar,False,/gespo-cotton-shirt-with-mandarin-collar/p/461125413_yellow,"{'sizeVariants': ['S', 'M', 'XL']}",www.ajio.com/gespo-cotton-shirt-with-mandarin-collar/p/461125413_yellow
5,441034008007,Coupon Applicable,"{'brandName': 'NETPLAY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hee/h15/15575229169694/-286Wx359H-441034008-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441034008_white', 'sizeFlag': False}","[{'altText': 'NETPLAY White Shirts Checked Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb9/h55/15575229792286/netplay_white_shirts_checked_shirt_with_patch_pocket.jpg'}, {'altText': 'NETPLAY White Shirts Checked Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he1/h61/15575268032542/netplay_white_shirts_checked_shirt_with_patch_pocket.jpg'}, {'altText': 'NETPLAY White Shirts Checked Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hee/h15/15575229169694/netplay_white_shirts_checked_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 599.00', 'displayformattedValue': 'Rs. 599', 'value': 599}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Checked Shirt with Patch Pocket,False,/netplay-checked-shirt-with-patch-pocket/p/441034008_white,"{'sizeVariants': ['S', 'M', 'L', 'XL']}",www.ajio.com/netplay-checked-shirt-with-patch-pocket/p/441034008_white
6,441036973011,Coupon Applicable,"{'brandName': 'NETPLAY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h25/h5d/15647461933086/-286Wx359H-441036973-ltpink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441036973_ltpink', 'sizeFlag': False}","[{'altText': 'NETPLAY Pink Stylised Checked Slim Fit Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb9/ha4/15647462391838/netplay_pink_stylised_checked_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'NETPLAY Pink Stylised Checked Slim Fit Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8f/hde/15647466586142/netplay_pink_stylised_checked_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'NETPLAY Pink Stylised Checked Slim Fit Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h25/h5d/15647461933086/netplay_pink_stylised_checked_slim_fit_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 599.00', 'displayformattedValue': 'Rs. 599', 'value': 599}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Checked Slim Fit Shirt with Patch Pocket,False,/netplay-checked-slim-fit-shirt-with-patch-pocket/p/441036973_ltpink,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/netplay-checked-slim-fit-shirt-with-patch-pocket/p/441036973_ltpink
7,441018115001,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h4e/hf7/14499033317406/-286Wx359H-441018115-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441018115_blue', 'sizeFlag': False}","[{'altText': 'DNMX Blue Shackets Denim Shirt with Flap Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h6d/h88/14499033743390/dnmx_blue_shackets_denim_shirt_with_flap_pockets.jpg'}, {'altText': 'DNMX Blue Shackets Denim Shirt with Flap Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h51/hfd/14499038920734/dnmx_blue_shackets_denim_shirt_with_flap_pockets.jpg'}, {'altText': 'DNMX Blue Shackets Denim Shirt with Flap Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h4e/hf7/14499033317406/dnmx_blue_shackets_denim_shirt_with_flap_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 714.00', 'displayformattedValue': 'Rs. 714', 'value': 714}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,299.00', 'displayformattedValue': 'Rs. 1,299', 'value': 1299}",Denim Shirt with Flap Pockets,False,/dnmx-denim-shirt-with-flap-pockets/p/441018115_blue,"{'sizeVariants': ['S', 'M', 'L', 'XXL']}",www.ajio.com/dnmx-denim-shirt-with-flap-pockets/p/441018115_blue
8,461096185003,Coupon Applicable,"{'brandName': 'Campus Sutra', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h69/h80/17080778194974/-286Wx359H-461096185-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461096185_white', 'sizeFlag': False}","[{'altText': 'Campus Sutra White Classic Shirt with Contrast Sleeves', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h1d/hb4/17080778653726/campus_sutra_white_classic_shirt_with_contrast_sleeves.jpg'}, {'altText': 'Campus Sutra White Classic Shirt with Contrast Sleeves', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h64/h88/17080782585886/campus_sutra_white_classic_shirt_with_contrast_sleeves.jpg'}, {'altText': 'Campus Sutra White Classic Shirt with Contrast Sleeves', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h69/h80/17080778194974/campus_sutra_white_classic_shirt_with_contrast_sleeves.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 539.00', 'displayformattedValue': 'Rs. 539', 'value': 539}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 899.00', 'displayformattedValue': 'Rs. 899', 'value': 899}",Shirt with Contrast Sleeves,False,/campus-sutra-shirt-with-contrast-sleeves/p/461096185_white,"{'sizeVariants': ['S', 'M', 'L', 'XL']}",www.ajio.com/campus-sutra-shirt-with-contrast-sleeves/p/461096185_white
9,441018186009,Coupon Applicable,"{'brandName': 'NETPLAY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h07/hce/14817772535838/-286Wx359H-441018186-red-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441018186_red', 'sizeFlag': False}","[{'altText': 'NETPLAY Red Classic Checked Slim Fit Spread-Collar Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb5/h44/14817772896286/netplay_red_classic_checked_slim_fit_spread-collar_shirt_with_patch_pocket.jpg'}, {'altText': 'NETPLAY Red Classic Checked Slim Fit Spread-Collar Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h06/h3e/14817778728990/netplay_red_classic_checked_slim_fit_spread-collar_shirt_with_patch_pocket.jpg'}, {'altText': 'NETPLAY Red Classic Checked Slim Fit Spread-Collar Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h07/hce/14817772535838/netplay_red_classic_checked_slim_fit_spread-collar_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 549.00', 'displayformattedValue': 'Rs. 549', 'value': 549}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Checked Slim Fit Spread-Collar Shirt with Patch Pocket,False,/netplay-checked-slim-fit-spread-collar-shirt-with-patch-pocket/p/441018186_red,"{'sizeVariants': ['S', 'M', 'L', 'XXL']}",www.ajio.com/netplay-checked-slim-fit-spread-collar-shirt-with-patch-pocket/p/441018186_red
10,441018117011,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h8b/h6c/14498961293342/-286Wx359H-441018117-grey-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441018117_grey', 'sizeFlag': False}","[{'altText': 'DNMX Grey Shackets Washed Shirt with Flap Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h6b/h3b/14498961817630/dnmx_grey_shackets_washed_shirt_with_flap_pockets.jpg'}, {'altText': 'DNMX Grey Shackets Washed Shirt with Flap Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h9c/h26/14498968698910/dnmx_grey_shackets_washed_shirt_with_flap_pockets.jpg'}, {'altText': 'DNMX Grey Shackets Washed Shirt with Flap Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8b/h6c/14498961293342/dnmx_grey_shackets_washed_shirt_with_flap_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 714.00', 'displayformattedValue': 'Rs. 714', 'value': 714}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,299.00', 'displayformattedValue': 'Rs. 1,299', 'value': 1299}",Washed Shirt with Flap Pockets,False,/dnmx-washed-shirt-with-flap-pockets/p/441018117_grey,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/dnmx-washed-shirt-with-flap-pockets/p/441018117_grey
11,441018143012,Coupon Applicable,"{'brandName': 'NETPLAY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h24/h73/14598531579934/-286Wx359H-441018143-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441018143_green', 'sizeFlag': False}","[{'altText': 'NETPLAY Green Classic Textured Slim Fit Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2d/h76/14598532071454/netplay_green_classic_textured_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'NETPLAY Green Classic Textured Slim Fit Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h86/h7d/14598539477022/netplay_green_classic_textured_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'NETPLAY Green Classic Textured Slim Fit Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h24/h73/14598531579934/netplay_green_classic_textured_slim_fit_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 494.00', 'displayformattedValue': 'Rs. 494', 'value': 494}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 899.00', 'displayformattedValue': 'Rs. 899', 'value': 899}",Textured Slim Fit Shirt with Patch Pocket,False,/netplay-textured-slim-fit-shirt-with-patch-pocket/p/441018143_green,"{'sizeVariants': ['S', 'M', 'XL', 'XXL']}",www.ajio.com/netplay-textured-slim-fit-shirt-with-patch-pocket/p/441018143_green
12,441018123007,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h23/h9f/14498966306846/-286Wx359H-441018123-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441018123_blue', 'sizeFlag': False}","[{'altText': 'DNMX Blue Classic Striped shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha1/h34/14498966863902/dnmx_blue_classic_striped_shirt_with_patch_pocket.jpg'}, {'altText': 'DNMX Blue Classic Striped shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he9/hd2/14498972237854/dnmx_blue_classic_striped_shirt_with_patch_pocket.jpg'}, {'altText': 'DNMX Blue Classic Striped shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h23/h9f/14498966306846/dnmx_blue_classic_striped_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 650.00', 'displayformattedValue': 'Rs. 650', 'value': 650}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,299.00', 'displayformattedValue': 'Rs. 1,299', 'value': 1299}",Striped shirt with Patch Pocket,False,/dnmx-striped-shirt-with-patch-pocket/p/441018123_blue,"{'sizeVariants': ['S', 'M', 'L']}",www.ajio.com/dnmx-striped-shirt-with-patch-pocket/p/441018123_blue
13,441012256004,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ha5/h03/14626733686814/-286Wx359H-441012256-olive-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441012256_olive', 'sizeFlag': False}","[{'altText': 'DNMX Olive Green Classic Cotton Shirt with Flap Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h45/h06/14626734112798/dnmx_olive_green_classic_cotton_shirt_with_flap_pockets.jpg'}, {'altText': 'DNMX Olive Green Classic Cotton Shirt with Flap Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha5/h8e/14626740273182/dnmx_olive_green_classic_cotton_shirt_with_flap_pockets.jpg'}, {'altText': 'DNMX Olive Green Classic Cotton Shirt with Flap Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha5/h03/14626733686814/dnmx_olive_green_classic_cotton_shirt_with_flap_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 714.00', 'displayformattedValue': 'Rs. 714', 'value': 714}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,299.00', 'displayformattedValue': 'Rs. 1,299', 'value': 1299}",Cotton Shirt with Flap Pockets,False,/dnmx-cotton-shirt-with-flap-pockets/p/441012256_olive,"{'sizeVariants': ['S', 'M', 'L', 'XL']}",www.ajio.com/dnmx-cotton-shirt-with-flap-pockets/p/441012256_olive
14,441010714020,Coupon Applicable,"{'brandName': 'NETPLAY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h15/hd8/14796743114782/-286Wx359H-441010714-red-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441010714_red', 'sizeFlag': False}","[{'altText': 'NETPLAY Red Classic Checked Cotton Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h9f/he8/14796743507998/netplay_red_classic_checked_cotton_shirt_with_patch_pocket.jpg'}, {'altText': 'NETPLAY Red Classic Checked Cotton Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h11/hd9/14796748226590/netplay_red_classic_checked_cotton_shirt_with_patch_pocket.jpg'}, {'altText': 'NETPLAY Red Classic Checked Cotton Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h15/hd8/14796743114782/netplay_red_classic_checked_cotton_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 549.00', 'displayformattedValue': 'Rs. 549', 'value': 549}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Checked Cotton Shirt with Patch Pocket,False,/netplay-checked-cotton-shirt-with-patch-pocket/p/441010714_red,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/netplay-checked-cotton-shirt-with-patch-pocket/p/441010714_red
