,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,461085141002,Coupon Applicable,"{'brandName': 'AUSK', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h48/he2/15216779886622/-286Wx359H-461085141-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461085141_blue', 'sizeFlag': False}","[{'altText': 'AUSK Blue Crew Crew-Neck T-shirt with Contrast Stripes', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h46/hce/15216780148766/ausk_blue_crew_crew-neck_t-shirt_with_contrast_stripes.jpg'}, {'altText': 'AUSK Blue Crew Crew-Neck T-shirt with Contrast Stripes', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha7/he7/15216784474142/ausk_blue_crew_crew-neck_t-shirt_with_contrast_stripes.jpg'}, {'altText': 'AUSK Blue Crew Crew-Neck T-shirt with Contrast Stripes', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h48/he2/15216779886622/ausk_blue_crew_crew-neck_t-shirt_with_contrast_stripes.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",52% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 480.00', 'displayformattedValue': 'Rs. 480', 'value': 480}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Crew-Neck T-shirt with Contrast Stripes,False,/ausk-crew-neck-t-shirt-with-contrast-stripes/p/461085141_blue,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/ausk-crew-neck-t-shirt-with-contrast-stripes/p/461085141_blue
1,440745963053,Coupon Applicable,"{'brandName': 'PERFORMAX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h4f/he9/12588368199710/-286Wx359H-440745963-black-OUTFIT.jpg', 'allPromotions': False, 'colorGroup': '440745963_black', 'sizeFlag': False}","[{'altText': 'PERFORMAX Black Crew Panelled Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h34/he3/12588366692382/performax_black_crew_panelled_crew-neck_t-shirt.jpg'}, {'altText': 'PERFORMAX Black Crew Panelled Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha7/hc2/12588367478814/performax_black_crew_panelled_crew-neck_t-shirt.jpg'}, {'altText': 'PERFORMAX Black Crew Panelled Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h48/h0a/12588366626846/performax_black_crew_panelled_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 349.00', 'displayformattedValue': 'Rs. 349', 'value': 349}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Panelled Crew-Neck T-shirt,False,/performax-panelled-crew-neck-t-shirt/p/440745963_black,"{'sizeVariants': ['XXL', 'UNI XL']}",www.ajio.com/performax-panelled-crew-neck-t-shirt/p/440745963_black
2,461005997003,Coupon Applicable,"{'brandName': 'RIGO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hb7/hc8/16010300325918/-286Wx359H-461005997-multi-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461005997_multi', 'sizeFlag': False}","[{'altText': 'RIGO Multicolor Crew Colour-block  Slim Fit  T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h22/hc3/16010300588062/rigo_multicolor_crew_colour-block__slim_fit__t-shirt.jpg'}, {'altText': 'RIGO Multicolor Crew Colour-block  Slim Fit  T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb9/h56/16010305306654/rigo_multicolor_crew_colour-block__slim_fit__t-shirt.jpg'}, {'altText': 'RIGO Multicolor Crew Colour-block  Slim Fit  T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb7/hc8/16010300325918/rigo_multicolor_crew_colour-block__slim_fit__t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",65% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 350.00', 'displayformattedValue': 'Rs. 350', 'value': 350}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Colour-block  Slim Fit  T-shirt,False,/rigo-colour-block-slim-fit-t-shirt/p/461005997_multi,{'sizeVariants': ['S']},www.ajio.com/rigo-colour-block-slim-fit-t-shirt/p/461005997_multi
3,441039298003,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h02/h32/14729608167454/-286Wx359H-441039298-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441039298_white', 'sizeFlag': False}","[{'altText': 'DNMX White Crew Tropical Print Pocket Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb9/hc3/14729608298526/dnmx_white_crew_tropical_print_pocket_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX White Crew Tropical Print Pocket Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h85/h1b/14729611771934/dnmx_white_crew_tropical_print_pocket_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX White Crew Tropical Print Pocket Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h02/h32/14729608167454/dnmx_white_crew_tropical_print_pocket_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 279.00', 'displayformattedValue': 'Rs. 279', 'value': 279}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Tropical Print Pocket Crew-Neck T-shirt,False,/dnmx-tropical-print-pocket-crew-neck-t-shirt/p/441039298_white,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/dnmx-tropical-print-pocket-crew-neck-t-shirt/p/441039298_white
4,440745963060,Coupon Applicable,"{'brandName': 'PERFORMAX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h04/h39/13987363684382/-286Wx359H-440745963-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440745963_blue', 'sizeFlag': False}","[{'altText': 'PERFORMAX Royal Blue Crew Panelled Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd1/h32/13987363913758/performax_royal_blue_crew_panelled_crew-neck_t-shirt.jpg'}, {'altText': 'PERFORMAX Royal Blue Crew Panelled Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h56/h62/13987366273054/performax_royal_blue_crew_panelled_crew-neck_t-shirt.jpg'}, {'altText': 'PERFORMAX Royal Blue Crew Panelled Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h04/h39/13987363684382/performax_royal_blue_crew_panelled_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",60% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 200.00', 'displayformattedValue': 'Rs. 200', 'value': 200}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Panelled Crew-Neck T-shirt,False,/performax-panelled-crew-neck-t-shirt/p/440745963_blue,"{'sizeVariants': ['UNI S', 'UNI XXL', 'UNI M']}",www.ajio.com/performax-panelled-crew-neck-t-shirt/p/440745963_blue
5,461209675005,Coupon Applicable,"{'brandName': 'GLITO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efa2b5af997dd433b463c81/-286Wx359H-461209675-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461209675_navy', 'sizeFlag': False}","[{'altText': 'GLITO Navy Crew Textured Crew- Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efa2b5af997dd433b463c86/glito_navy_crew_textured_crew-_neck_t-shirt.jpg'}, {'altText': 'GLITO Navy Crew Textured Crew- Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efa2b5af997dd433b463c82/glito_navy_crew_textured_crew-_neck_t-shirt.jpg'}, {'altText': 'GLITO Navy Crew Textured Crew- Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efa2b5af997dd433b463c81/glito_navy_crew_textured_crew-_neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",62% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 418.00', 'displayformattedValue': 'Rs. 418', 'value': 418}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,099.00', 'displayformattedValue': 'Rs. 1,099', 'value': 1099}",Textured Crew- Neck T-shirt,False,/glito-textured-crew-neck-t-shirt/p/461209675_navy,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/glito-textured-crew-neck-t-shirt/p/461209675_navy
6,441024409011,Coupon Applicable,"{'brandName': 'NETPLAY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h06/he8/15575169597470/-286Wx359H-441024409-aqua-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441024409_aqua', 'sizeFlag': False}","[{'altText': 'NETPLAY Aqua Blue Polo Polo T-Shirt with Printed Collar', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc8/h8e/15575170449438/netplay_aqua_blue_polo_polo_t-shirt_with_printed_collar.jpg'}, {'altText': 'NETPLAY Aqua Blue Polo Polo T-Shirt with Printed Collar', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hbd/h56/15575178543134/netplay_aqua_blue_polo_polo_t-shirt_with_printed_collar.jpg'}, {'altText': 'NETPLAY Aqua Blue Polo Polo T-Shirt with Printed Collar', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h06/he8/15575169597470/netplay_aqua_blue_polo_polo_t-shirt_with_printed_collar.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 384.00', 'displayformattedValue': 'Rs. 384', 'value': 384}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}",Polo T-Shirt with Printed Collar,False,/netplay-polo-t-shirt-with-printed-collar/p/441024409_aqua,"{'sizeVariants': ['S', 'M', 'L']}",www.ajio.com/netplay-polo-t-shirt-with-printed-collar/p/441024409_aqua
7,440745963004,Coupon Applicable,"{'brandName': 'PERFORMAX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/he7/hfe/12588395200542/-286Wx359H-440745963-charcoal-OUTFIT.jpg', 'allPromotions': False, 'colorGroup': '440745963_charcoal', 'sizeFlag': False}","[{'altText': 'PERFORMAX Dark Grey Crew Panelled Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h7e/ha3/12588397363230/performax_dark_grey_crew_panelled_crew-neck_t-shirt.jpg'}, {'altText': 'PERFORMAX Dark Grey Crew Panelled Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h49/hf4/12588398149662/performax_dark_grey_crew_panelled_crew-neck_t-shirt.jpg'}, {'altText': 'PERFORMAX Dark Grey Crew Panelled Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h50/h17/12588397297694/performax_dark_grey_crew_panelled_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 349.00', 'displayformattedValue': 'Rs. 349', 'value': 349}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Panelled Crew-Neck T-shirt,False,/performax-panelled-crew-neck-t-shirt/p/440745963_charcoal,"{'sizeVariants': ['UNI S', 'UNI L', 'UNI XL', 'UNI XXL', 'UNI M']}",www.ajio.com/performax-panelled-crew-neck-t-shirt/p/440745963_charcoal
8,440745963011,Coupon Applicable,"{'brandName': 'PERFORMAX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hdb/h7b/12588372918302/-286Wx359H-440745963-navy-OUTFIT.jpg', 'allPromotions': False, 'colorGroup': '440745963_navy', 'sizeFlag': False}","[{'altText': 'PERFORMAX Navy Blue Crew Panelled Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h51/he4/12588371410974/performax_navy_blue_crew_panelled_crew-neck_t-shirt.jpg'}, {'altText': 'PERFORMAX Navy Blue Crew Panelled Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb0/he1/12588372197406/performax_navy_blue_crew_panelled_crew-neck_t-shirt.jpg'}, {'altText': 'PERFORMAX Navy Blue Crew Panelled Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf0/h65/12588371345438/performax_navy_blue_crew_panelled_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 349.00', 'displayformattedValue': 'Rs. 349', 'value': 349}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Panelled Crew-Neck T-shirt,False,/performax-panelled-crew-neck-t-shirt/p/440745963_navy,"{'sizeVariants': ['UNI S', 'UNI XL', 'UNI XXL']}",www.ajio.com/performax-panelled-crew-neck-t-shirt/p/440745963_navy
9,441050855011,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h50/hff/15409577984030/-286Wx359H-441050855-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441050855_navy', 'sizeFlag': False}","[{'altText': 'Teamspirit Multicoloured Crew Striped Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he2/h78/15409578541086/teamspirit_multicoloured_crew_striped_crew-neck_t-shirt.jpg'}, {'altText': 'Teamspirit Multicoloured Crew Striped Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd7/h02/15409583685662/teamspirit_multicoloured_crew_striped_crew-neck_t-shirt.jpg'}, {'altText': 'Teamspirit Multicoloured Crew Striped Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h50/hff/15409577984030/teamspirit_multicoloured_crew_striped_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 349.00', 'displayformattedValue': 'Rs. 349', 'value': 349}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Striped Crew-Neck T-shirt,False,/teamspirit-striped-crew-neck-t-shirt/p/441050855_navy,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",www.ajio.com/teamspirit-striped-crew-neck-t-shirt/p/441050855_navy
10,461134471002,Coupon Applicable,"{'brandName': 'AUSK', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h96/hd5/16053807120414/-286Wx359H-461134471-grey-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461134471_grey', 'sizeFlag': False}","[{'altText': 'AUSK Grey Crew Colourblock Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2a/h54/16053807710238/ausk_grey_crew_colourblock_crew-neck_t-shirt.jpg'}, {'altText': 'AUSK Grey Crew Colourblock Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha1/hbe/16053814525982/ausk_grey_crew_colourblock_crew-neck_t-shirt.jpg'}, {'altText': 'AUSK Grey Crew Colourblock Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h96/hd5/16053807120414/ausk_grey_crew_colourblock_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",52% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 480.00', 'displayformattedValue': 'Rs. 480', 'value': 480}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Colourblock Crew-Neck T-shirt,False,/ausk-colourblock-crew-neck-t-shirt/p/461134471_grey,"{'sizeVariants': ['S', 'M', 'L', 'XL']}",www.ajio.com/ausk-colourblock-crew-neck-t-shirt/p/461134471_grey
11,460545522003,Coupon Applicable,"{'brandName': 'LEVIS', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h76/h23/15479221846046/-286Wx359H-460545522-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460545522_white', 'sizeFlag': False}","[{'altText': 'LEVIS White Crew Crew-Neck T-shirt with Branding', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2e/hc6/15479222632478/levis_white_crew_crew-neck_t-shirt_with_branding.jpg'}, {'altText': 'LEVIS White Crew Crew-Neck T-shirt with Branding', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h60/h56/15479230267422/levis_white_crew_crew-neck_t-shirt_with_branding.jpg'}, {'altText': 'LEVIS White Crew Crew-Neck T-shirt with Branding', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h76/h23/15479221846046/levis_white_crew_crew-neck_t-shirt_with_branding.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",25% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 749.00', 'displayformattedValue': 'Rs. 749', 'value': 749}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Crew-Neck T-shirt with Branding,False,/levis-crew-neck-t-shirt-with-branding/p/460545522_white,"{'sizeVariants': ['S', 'L', 'XL']}",www.ajio.com/levis-crew-neck-t-shirt-with-branding/p/460545522_white
12,461005705004,Coupon Applicable,"{'brandName': 'RIGO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h3b/h52/16040513863710/-286Wx359H-461005705-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461005705_blue', 'sizeFlag': False}","[{'altText': 'RIGO Blue Crew  Textured  Slim Fit  Crew- Neck T-shirt ', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h47/h9c/16040513994782/rigo_blue_crew__textured__slim_fit__crew-_neck_t-shirt_.jpg'}, {'altText': 'RIGO Blue Crew  Textured  Slim Fit  Crew- Neck T-shirt ', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hbc/hdf/16040516747294/rigo_blue_crew__textured__slim_fit__crew-_neck_t-shirt_.jpg'}, {'altText': 'RIGO Blue Crew  Textured  Slim Fit  Crew- Neck T-shirt ', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h3b/h52/16040513863710/rigo_blue_crew__textured__slim_fit__crew-_neck_t-shirt_.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",56% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 440.00', 'displayformattedValue': 'Rs. 440', 'value': 440}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}", Textured  Slim Fit  Crew- Neck T-shirt ,False,/rigo--textured-slim-fit-crew-neck-t-shirt-/p/461005705_blue,{'sizeVariants': ['S']},www.ajio.com/rigo--textured-slim-fit-crew-neck-t-shirt-/p/461005705_blue
13,441052794009,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h23/hbf/15479414718494/-286Wx359H-441052794-black-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441052794_black', 'sizeFlag': False}","[{'altText': 'DNMX Black Crew Typographic Print Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8b/h6a/15479415111710/dnmx_black_crew_typographic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Black Crew Typographic Print Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h7f/h66/15479419994142/dnmx_black_crew_typographic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Black Crew Typographic Print Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h23/hbf/15479414718494/dnmx_black_crew_typographic_print_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 279.00', 'displayformattedValue': 'Rs. 279', 'value': 279}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Typographic Print Crew-Neck T-shirt,False,/dnmx-typographic-print-crew-neck-t-shirt/p/441052794_black,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",www.ajio.com/dnmx-typographic-print-crew-neck-t-shirt/p/441052794_black
14,461133088001,Coupon Applicable,"{'brandName': 'GESPO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hd7/hca/16037883543582/-286Wx359H-461133088-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461133088_green', 'sizeFlag': False}","[{'altText': 'GESPO Green Crew Slim Fit Crew-Neck T-shirt with Contrast Stripes', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb0/h00/16037883969566/gespo_green_crew_slim_fit_crew-neck_t-shirt_with_contrast_stripes.jpg'}, {'altText': 'GESPO Green Crew Slim Fit Crew-Neck T-shirt with Contrast Stripes', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h3e/hd9/16037888131102/gespo_green_crew_slim_fit_crew-neck_t-shirt_with_contrast_stripes.jpg'}, {'altText': 'GESPO Green Crew Slim Fit Crew-Neck T-shirt with Contrast Stripes', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd7/hca/16037883543582/gespo_green_crew_slim_fit_crew-neck_t-shirt_with_contrast_stripes.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 500.00', 'displayformattedValue': 'Rs. 500', 'value': 500}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Slim Fit Crew-Neck T-shirt with Contrast Stripes,False,/gespo-slim-fit-crew-neck-t-shirt-with-contrast-stripes/p/461133088_green,"{'sizeVariants': ['S', 'M', 'L', 'XL']}",www.ajio.com/gespo-slim-fit-crew-neck-t-shirt-with-contrast-stripes/p/461133088_green
