,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,461186611001,Coupon Applicable,"{'brandName': 'Jaipur Kurti', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef9d694f997dd433b45f848/-286Wx359H-461186611-yellow-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461186611_yellow', 'sizeFlag': False}","[{'altText': 'Jaipur Kurti Mustard Straight Straight Kurta with Pants & Woven Dupatta', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef9d694f997dd433b45f861/jaipur_kurti_mustard_straight_straight_kurta_with_pants_&_woven_dupatta.jpg'}, {'altText': 'Jaipur Kurti Mustard Straight Straight Kurta with Pants & Woven Dupatta', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef9d694f997dd433b45f84b/jaipur_kurti_mustard_straight_straight_kurta_with_pants_&_woven_dupatta.jpg'}, {'altText': 'Jaipur Kurti Mustard Straight Straight Kurta with Pants & Woven Dupatta', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef9d694f997dd433b45f848/jaipur_kurti_mustard_straight_straight_kurta_with_pants_&_woven_dupatta.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",52% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,824.00', 'displayformattedValue': 'Rs. 1,824', 'value': 1824}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,799.00', 'displayformattedValue': 'Rs. 3,799', 'value': 3799}",Straight Kurta with Pants & Woven Dupatta,False,/jaipur-kurti-straight-kurta-with-pants--woven-dupatta/p/461186611_yellow,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL']}",www.ajio.com/jaipur-kurti-straight-kurta-with-pants--woven-dupatta/p/461186611_yellow
1,441066670008,Coupon Applicable,"{'brandName': 'Juniper', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h96/h60/16113888034846/-286Wx359H-441066670-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441066670_pink', 'sizeFlag': False}","[{'altText': 'Juniper Pink A-line A-line Kurta with Floral Print Palazzos & Scarf', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0b/h39/16113888493598/juniper_pink_a-line_a-line_kurta_with_floral_print_palazzos_&_scarf.jpg'}, {'altText': 'Juniper Pink A-line A-line Kurta with Floral Print Palazzos & Scarf', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0b/h84/16113893343262/juniper_pink_a-line_a-line_kurta_with_floral_print_palazzos_&_scarf.jpg'}, {'altText': 'Juniper Pink A-line A-line Kurta with Floral Print Palazzos & Scarf', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h96/h60/16113888034846/juniper_pink_a-line_a-line_kurta_with_floral_print_palazzos_&_scarf.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}",60% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,200.00', 'displayformattedValue': 'Rs. 1,200', 'value': 1200}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,999.00', 'displayformattedValue': 'Rs. 2,999', 'value': 2999}",A-line Kurta with Floral Print Palazzos & Scarf,False,/juniper-a-line-kurta-with-floral-print-palazzos--scarf/p/441066670_pink,"{'sizeVariants': ['S', 'M', 'L', 'XL']}",www.ajio.com/juniper-a-line-kurta-with-floral-print-palazzos--scarf/p/441066670_pink
2,461186469005,Coupon Applicable,"{'brandName': 'Jaipur Kurti', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef9d551aeb2693175811927/-286Wx359H-461186469-maroon-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461186469_maroon', 'sizeFlag': False}","[{'altText': 'Jaipur Kurti Maroon Straight Jacquard-Woven Straight Kurta with Pants & Dupatta', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef9d552aeb269317581194c/jaipur_kurti_maroon_straight_jacquard-woven_straight_kurta_with_pants_&_dupatta.jpg'}, {'altText': 'Jaipur Kurti Maroon Straight Jacquard-Woven Straight Kurta with Pants & Dupatta', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef9d551aeb2693175811933/jaipur_kurti_maroon_straight_jacquard-woven_straight_kurta_with_pants_&_dupatta.jpg'}, {'altText': 'Jaipur Kurti Maroon Straight Jacquard-Woven Straight Kurta with Pants & Dupatta', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef9d551aeb2693175811927/jaipur_kurti_maroon_straight_jacquard-woven_straight_kurta_with_pants_&_dupatta.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",52% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,776.00', 'displayformattedValue': 'Rs. 1,776', 'value': 1776}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,699.00', 'displayformattedValue': 'Rs. 3,699', 'value': 3699}",Jacquard-Woven Straight Kurta with Pants & Dupatta,False,/jaipur-kurti-jacquard-woven-straight-kurta-with-pants--dupatta/p/461186469_maroon,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/jaipur-kurti-jacquard-woven-straight-kurta-with-pants--dupatta/p/461186469_maroon
3,461188015001,Coupon Applicable,"{'brandName': 'KIPEK', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h90/h05/16800005980190/-286Wx359H-461188015-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461188015_green', 'sizeFlag': False}","[{'altText': 'KIPEK Green Straight Straight Front Slit Kurta Set ', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h23/hb4/16800006504478/kipek_green_straight_straight_front_slit_kurta_set_.jpg'}, {'altText': 'KIPEK Green Straight Straight Front Slit Kurta Set ', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha0/hbf/16800013385758/kipek_green_straight_straight_front_slit_kurta_set_.jpg'}, {'altText': 'KIPEK Green Straight Straight Front Slit Kurta Set ', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h90/h05/16800005980190/kipek_green_straight_straight_front_slit_kurta_set_.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",68% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 896.00', 'displayformattedValue': 'Rs. 896', 'value': 896}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,799.00', 'displayformattedValue': 'Rs. 2,799', 'value': 2799}",Straight Front Slit Kurta Set ,False,/kipek-straight-front-slit-kurta-set-/p/461188015_green,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/kipek-straight-front-slit-kurta-set-/p/461188015_green
4,461067339005,Coupon Applicable,"{'brandName': 'Ishin', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/he0/h8e/17059957145630/-286Wx359H-461067339-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461067339_blue', 'sizeFlag': False}","[{'altText': 'Ishin Navy Blue Straight Floral Straight Kurta Set', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hec/h91/17059957800990/ishin_navy_blue_straight_floral_straight_kurta_set.jpg'}, {'altText': 'Ishin Navy Blue Straight Floral Straight Kurta Set', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h00/ha1/17059963437086/ishin_navy_blue_straight_floral_straight_kurta_set.jpg'}, {'altText': 'Ishin Navy Blue Straight Floral Straight Kurta Set', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he0/h8e/17059957145630/ishin_navy_blue_straight_floral_straight_kurta_set.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",58% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,470.00', 'displayformattedValue': 'Rs. 1,470', 'value': 1470}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,499.00', 'displayformattedValue': 'Rs. 3,499', 'value': 3499}",Floral Straight Kurta Set,False,/ishin-floral-straight-kurta-set/p/461067339_blue,"{'sizeVariants': ['M', 'L', 'XL', 'XXL']}",www.ajio.com/ishin-floral-straight-kurta-set/p/461067339_blue
5,461093056001,Coupon Applicable,"{'brandName': 'Alena', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hb8/h40/15738687488030/-286Wx359H-461093056-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461093056_green', 'sizeFlag': False}","[{'altText': 'Alena Green Straight Block Print Straight Kurta & Palazzo Set', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha0/hf3/15738687881246/alena_green_straight_block_print_straight_kurta_&_palazzo_set.jpg'}, {'altText': 'Alena Green Straight Block Print Straight Kurta & Palazzo Set', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2e/h7a/15738691682334/alena_green_straight_block_print_straight_kurta_&_palazzo_set.jpg'}, {'altText': 'Alena Green Straight Block Print Straight Kurta & Palazzo Set', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb8/h40/15738687488030/alena_green_straight_block_print_straight_kurta_&_palazzo_set.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",60% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,120.00', 'displayformattedValue': 'Rs. 1,120', 'value': 1120}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,799.00', 'displayformattedValue': 'Rs. 2,799', 'value': 2799}",Block Print Straight Kurta & Palazzo Set,False,/alena-block-print-straight-kurta--palazzo-set/p/461093056_green,"{'sizeVariants': ['S', 'L']}",www.ajio.com/alena-block-print-straight-kurta--palazzo-set/p/461093056_green
6,441024074012,Coupon Applicable,"{'brandName': 'AVAASA SET', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h2d/h36/15506601443358/-286Wx359H-441024074-yellow-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441024074_yellow', 'sizeFlag': False}","[{'altText': 'AVAASA SET Yellow A-line Printed A-line Kurta with Churidar & Dupatta', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd5/h5c/15506602164254/avaasa_set_yellow_a-line_printed_a-line_kurta_with_churidar_&_dupatta.jpg'}, {'altText': 'AVAASA SET Yellow A-line Printed A-line Kurta with Churidar & Dupatta', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hea/he1/15506607472670/avaasa_set_yellow_a-line_printed_a-line_kurta_with_churidar_&_dupatta.jpg'}, {'altText': 'AVAASA SET Yellow A-line Printed A-line Kurta with Churidar & Dupatta', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2d/h36/15506601443358/avaasa_set_yellow_a-line_printed_a-line_kurta_with_churidar_&_dupatta.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,399.00', 'displayformattedValue': 'Rs. 1,399', 'value': 1399}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,999.00', 'displayformattedValue': 'Rs. 1,999', 'value': 1999}",Printed A-line Kurta with Churidar & Dupatta,False,/avaasa-set-printed-a-line-kurta-with-churidar--dupatta/p/441024074_yellow,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/avaasa-set-printed-a-line-kurta-with-churidar--dupatta/p/441024074_yellow
7,441066695006,Coupon Applicable,"{'brandName': 'Juniper', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h72/h92/16112056238110/-286Wx359H-441066695-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441066695_blue', 'sizeFlag': False}","[{'altText': 'Juniper Blue Straight Floral Print Kurta with Straight Pants', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h40/h21/16112056664094/juniper_blue_straight_floral_print_kurta_with_straight_pants.jpg'}, {'altText': 'Juniper Blue Straight Floral Print Kurta with Straight Pants', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha1/hbc/16112059711518/juniper_blue_straight_floral_print_kurta_with_straight_pants.jpg'}, {'altText': 'Juniper Blue Straight Floral Print Kurta with Straight Pants', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h72/h92/16112056238110/juniper_blue_straight_floral_print_kurta_with_straight_pants.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}",60% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,200.00', 'displayformattedValue': 'Rs. 1,200', 'value': 1200}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,999.00', 'displayformattedValue': 'Rs. 2,999', 'value': 2999}",Floral Print Kurta with Straight Pants,False,/juniper-floral-print-kurta-with-straight-pants/p/441066695_blue,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/juniper-floral-print-kurta-with-straight-pants/p/441066695_blue
8,461186590005,Coupon Applicable,"{'brandName': 'Jaipur Kurti', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef9d5727cdb8c721b7497c3/-286Wx359H-461186590-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461186590_pink', 'sizeFlag': False}","[{'altText': 'Jaipur Kurti Pink Straight Straight Kurta with Pants & Woven Dupatta', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef9d5727cdb8c721b7497de/jaipur_kurti_pink_straight_straight_kurta_with_pants_&_woven_dupatta.jpg'}, {'altText': 'Jaipur Kurti Pink Straight Straight Kurta with Pants & Woven Dupatta', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef9d5727cdb8c721b7497c8/jaipur_kurti_pink_straight_straight_kurta_with_pants_&_woven_dupatta.jpg'}, {'altText': 'Jaipur Kurti Pink Straight Straight Kurta with Pants & Woven Dupatta', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef9d5727cdb8c721b7497c3/jaipur_kurti_pink_straight_straight_kurta_with_pants_&_woven_dupatta.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",56% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,672.00', 'displayformattedValue': 'Rs. 1,672', 'value': 1672}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,799.00', 'displayformattedValue': 'Rs. 3,799', 'value': 3799}",Straight Kurta with Pants & Woven Dupatta,False,/jaipur-kurti-straight-kurta-with-pants--woven-dupatta/p/461186590_pink,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL']}",www.ajio.com/jaipur-kurti-straight-kurta-with-pants--woven-dupatta/p/461186590_pink
9,461065396003,Coupon Applicable,"{'brandName': 'Ishin', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hc1/hf1/14947708108830/-286Wx359H-461065396-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461065396_pink', 'sizeFlag': False}","[{'altText': 'Ishin Pink Straight Paisley Kurta Set', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2d/h6b/14947708502046/ishin_pink_straight_paisley_kurta_set.jpg'}, {'altText': 'Ishin Pink Straight Paisley Kurta Set', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8d/h3c/14947714727966/ishin_pink_straight_paisley_kurta_set.jpg'}, {'altText': 'Ishin Pink Straight Paisley Kurta Set', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc1/hf1/14947708108830/ishin_pink_straight_paisley_kurta_set.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",60% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,400.00', 'displayformattedValue': 'Rs. 1,400', 'value': 1400}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,499.00', 'displayformattedValue': 'Rs. 3,499', 'value': 3499}",Paisley Kurta Set,False,/ishin-paisley-kurta-set/p/461065396_pink,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/ishin-paisley-kurta-set/p/461065396_pink
10,461221095005,Coupon Applicable,"{'brandName': 'Shakumbhari', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0d95387cdb8c721b7c6b8f/-286Wx359H-461221095-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461221095_pink', 'sizeFlag': False}","[{'altText': 'Shakumbhari Pink A-line  Floral Print Straight Kurta Set', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0d95387cdb8c721b7c6b94/shakumbhari_pink_a-line__floral_print_straight_kurta_set.jpg'}, {'altText': 'Shakumbhari Pink A-line  Floral Print Straight Kurta Set', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0d95387cdb8c721b7c6b90/shakumbhari_pink_a-line__floral_print_straight_kurta_set.jpg'}, {'altText': 'Shakumbhari Pink A-line  Floral Print Straight Kurta Set', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0d95387cdb8c721b7c6b8f/shakumbhari_pink_a-line__floral_print_straight_kurta_set.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,398.00', 'displayformattedValue': 'Rs. 1,398', 'value': 1398}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,795.00', 'displayformattedValue': 'Rs. 2,795', 'value': 2795}", Floral Print Straight Kurta Set,False,/shakumbhari--floral-print-straight-kurta-set/p/461221095_pink,,www.ajio.com/shakumbhari--floral-print-straight-kurta-set/p/461221095_pink
11,461164156004,Coupon Applicable,"{'brandName': 'La Firangi', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h08/h6d/16413011574814/-286Wx359H-461164156-multi-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461164156_multi', 'sizeFlag': False}","[{'altText': 'La Firangi Multicoloured A-line Printed A-line Kurta with Palazzo Pants', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h60/h46/16413012295710/la_firangi_multicoloured_a-line_printed_a-line_kurta_with_palazzo_pants.jpg'}, {'altText': 'La Firangi Multicoloured A-line Printed A-line Kurta with Palazzo Pants', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8f/h8c/16413019897886/la_firangi_multicoloured_a-line_printed_a-line_kurta_with_palazzo_pants.jpg'}, {'altText': 'La Firangi Multicoloured A-line Printed A-line Kurta with Palazzo Pants', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h08/h6d/16413011574814/la_firangi_multicoloured_a-line_printed_a-line_kurta_with_palazzo_pants.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",60% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,200.00', 'displayformattedValue': 'Rs. 1,200', 'value': 1200}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,999.00', 'displayformattedValue': 'Rs. 2,999', 'value': 2999}",Printed A-line Kurta with Palazzo Pants,False,/la-firangi-printed-a-line-kurta-with-palazzo-pants/p/461164156_multi,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/la-firangi-printed-a-line-kurta-with-palazzo-pants/p/461164156_multi
12,461115550001,Coupon Applicable,"{'brandName': 'Ishin', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef9d989f997dd433b461d0a/-286Wx359H-461115550-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461115550_blue', 'sizeFlag': False}","[{'altText': 'Ishin Navy Blue Straight Printed Straight Kurta with Palazzo Pants', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef9d989f997dd433b461d0f/ishin_navy_blue_straight_printed_straight_kurta_with_palazzo_pants.jpg'}, {'altText': 'Ishin Navy Blue Straight Printed Straight Kurta with Palazzo Pants', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef9d989f997dd433b461d0b/ishin_navy_blue_straight_printed_straight_kurta_with_palazzo_pants.jpg'}, {'altText': 'Ishin Navy Blue Straight Printed Straight Kurta with Palazzo Pants', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef9d989f997dd433b461d0a/ishin_navy_blue_straight_printed_straight_kurta_with_palazzo_pants.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,250.00', 'displayformattedValue': 'Rs. 2,250', 'value': 2250}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,499.00', 'displayformattedValue': 'Rs. 4,499', 'value': 4499}",Printed Straight Kurta with Palazzo Pants,False,/ishin-printed-straight-kurta-with-palazzo-pants/p/461115550_blue,"{'sizeVariants': ['M', 'L', 'XL', 'XXL']}",www.ajio.com/ishin-printed-straight-kurta-with-palazzo-pants/p/461115550_blue
13,441024070003,Coupon Applicable,"{'brandName': 'AVAASA SET', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hf2/h50/14860095324190/-286Wx359H-441024070-pistagreen-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441024070_pistagreen', 'sizeFlag': False}","[{'altText': 'AVAASA SET Pista Green Flared Floral Print Flared Kurta with Churidar & Dupatta', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h23/hb9/14860095881246/avaasa_set_pista_green_flared_floral_print_flared_kurta_with_churidar_&_dupatta.jpg'}, {'altText': 'AVAASA SET Pista Green Flared Floral Print Flared Kurta with Churidar & Dupatta', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha7/hc6/14860102139934/avaasa_set_pista_green_flared_floral_print_flared_kurta_with_churidar_&_dupatta.jpg'}, {'altText': 'AVAASA SET Pista Green Flared Floral Print Flared Kurta with Churidar & Dupatta', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf2/h50/14860095324190/avaasa_set_pista_green_flared_floral_print_flared_kurta_with_churidar_&_dupatta.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,559.00', 'displayformattedValue': 'Rs. 1,559', 'value': 1559}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,599.00', 'displayformattedValue': 'Rs. 2,599', 'value': 2599}",Floral Print Flared Kurta with Churidar & Dupatta,False,/avaasa-set-floral-print-flared-kurta-with-churidar--dupatta/p/441024070_pistagreen,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",www.ajio.com/avaasa-set-floral-print-flared-kurta-with-churidar--dupatta/p/441024070_pistagreen
