,code,couponStatus,fnlColorVariantData,images,fnlProductData,price,wasPriceData,name,volumePricesFlag,url,discountPercent,productSizeData,PAGE_URL_COMPLETE
0,440907083007,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/UTYt/5f1f24a7f997ddfa5323b5d7/-286Wx359H-440907083-magntafusha-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440907083_magntafusha', 'sizeFlag': False}","[{'altText': 'DNMX Magenta Crew Typographic Print Round-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/UTYt/5f1f24a7f997ddfa5323b5f7/dnmx_magenta_crew_typographic_print_round-neck_t-shirt.jpg'}, {'altText': 'DNMX Magenta Crew Typographic Print Round-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/UTYt/5f1f24a7f997ddfa5323b5e4/dnmx_magenta_crew_typographic_print_round-neck_t-shirt.jpg'}, {'altText': 'DNMX Magenta Crew Typographic Print Round-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/UTYt/5f1f24a7f997ddfa5323b5d7/dnmx_magenta_crew_typographic_print_round-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Typographic Print Round-Neck T-shirt,False,/dnmx-typographic-print-round-neck-t-shirt/p/440907083_magntafusha,,,trends.ajio.com/dnmx-typographic-print-round-neck-t-shirt/p/440907083_magntafusha
1,440954480026,Coupon Applicable,"{'brandName': 'PERFORMAX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef506f7f997dd433b44cd56/-286Wx359H-440954480-greymelange-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440954480_greymelange', 'sizeFlag': False}","[{'altText': 'PERFORMAX Grey Crew Heathered Panelled Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef506f7f997dd433b44cd67/performax_grey_crew_heathered_panelled_crew-neck_t-shirt.jpg'}, {'altText': 'PERFORMAX Grey Crew Heathered Panelled Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef506f7f997dd433b44cd5b/performax_grey_crew_heathered_panelled_crew-neck_t-shirt.jpg'}, {'altText': 'PERFORMAX Grey Crew Heathered Panelled Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef506f7f997dd433b44cd56/performax_grey_crew_heathered_panelled_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 509.00', 'displayformattedValue': 'Rs. 509', 'value': 509}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 599.00', 'displayformattedValue': 'Rs. 599', 'value': 599}",Heathered Panelled Crew-Neck T-shirt,False,/performax-heathered-panelled-crew-neck-t-shirt/p/440954480_greymelange,15% off,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/performax-heathered-panelled-crew-neck-t-shirt/p/440954480_greymelange
2,441056999005,Coupon Applicable,"{'brandName': 'DISNEY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hf9/hf4/16977410129950/-286Wx359H-441056999-peach-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441056999_peach', 'sizeFlag': False}","[{'altText': 'DISNEY Peach Crew Mickey Mouse Print Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h9a/h89/16977410719774/disney_peach_crew_mickey_mouse_print_crew-neck_t-shirt.jpg'}, {'altText': 'DISNEY Peach Crew Mickey Mouse Print Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h52/hc7/16977415766046/disney_peach_crew_mickey_mouse_print_crew-neck_t-shirt.jpg'}, {'altText': 'DISNEY Peach Crew Mickey Mouse Print Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf9/hf4/16977410129950/disney_peach_crew_mickey_mouse_print_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 347.00', 'displayformattedValue': 'Rs. 347', 'value': 347}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Mickey Mouse Print Crew-Neck T-shirt,False,/disney-mickey-mouse-print-crew-neck-t-shirt/p/441056999_peach,13% off,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",trends.ajio.com/disney-mickey-mouse-print-crew-neck-t-shirt/p/441056999_peach
3,441023545003,Coupon Applicable,"{'brandName': 'DISNEY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h3d/h8f/17015842144286/-286Wx359H-441023545-darkred-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441023545_darkred', 'sizeFlag': False}","[{'altText': 'DISNEY Red Crew Mickey Print Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hbb/he9/17015842406430/disney_red_crew_mickey_print_crew-neck_t-shirt.jpg'}, {'altText': 'DISNEY Red Crew Mickey Print Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h5d/h4c/17015847387166/disney_red_crew_mickey_print_crew-neck_t-shirt.jpg'}, {'altText': 'DISNEY Red Crew Mickey Print Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h3d/h8f/17015842144286/disney_red_crew_mickey_print_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 384.00', 'displayformattedValue': 'Rs. 384', 'value': 384}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 549.00', 'displayformattedValue': 'Rs. 549', 'value': 549}",Mickey Print Crew-Neck T-shirt,False,/disney-mickey-print-crew-neck-t-shirt/p/441023545_darkred,30% off,"{'sizeVariants': ['S', 'M']}",trends.ajio.com/disney-mickey-print-crew-neck-t-shirt/p/441023545_darkred
4,441050999015,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/haa/h4f/17013302329374/-286Wx359H-441050999-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441050999_pink', 'sizeFlag': False}","[{'altText': 'Teamspirit Pink Crew Striped Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc9/h02/17013303148574/teamspirit_pink_crew_striped_crew-neck_t-shirt.jpg'}, {'altText': 'Teamspirit Pink Crew Striped Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb7/hc1/17013307310110/teamspirit_pink_crew_striped_crew-neck_t-shirt.jpg'}, {'altText': 'Teamspirit Pink Crew Striped Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/haa/h4f/17013302329374/teamspirit_pink_crew_striped_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 339.00', 'displayformattedValue': 'Rs. 339', 'value': 339}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Striped Crew-Neck T-shirt,False,/teamspirit-striped-crew-neck-t-shirt/p/441050999_pink,15% off,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/teamspirit-striped-crew-neck-t-shirt/p/441050999_pink
5,441050999009,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h8c/h84/17015842537502/-286Wx359H-441050999-olive-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441050999_olive', 'sizeFlag': False}","[{'altText': 'Teamspirit Olive Green Crew Striped Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha2/h7c/17015842865182/teamspirit_olive_green_crew_striped_crew-neck_t-shirt.jpg'}, {'altText': 'Teamspirit Olive Green Crew Striped Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h83/h2d/17015848108062/teamspirit_olive_green_crew_striped_crew-neck_t-shirt.jpg'}, {'altText': 'Teamspirit Olive Green Crew Striped Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8c/h84/17015842537502/teamspirit_olive_green_crew_striped_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 339.00', 'displayformattedValue': 'Rs. 339', 'value': 339}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Striped Crew-Neck T-shirt,False,/teamspirit-striped-crew-neck-t-shirt/p/441050999_olive,15% off,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/teamspirit-striped-crew-neck-t-shirt/p/441050999_olive
6,440929702009,Coupon Applicable,"{'brandName': 'PERFORMAX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h56/hef/17010737053726/-286Wx359H-440929702-ltpeach-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440929702_ltpeach', 'sizeFlag': False}","[{'altText': 'PERFORMAX Peach Crew Textured T-shirt with Raglan Sleeves', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h13/hc1/17010737381406/performax_peach_crew_textured_t-shirt_with_raglan_sleeves.jpg'}, {'altText': 'PERFORMAX Peach Crew Textured T-shirt with Raglan Sleeves', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h44/hab/17010740854814/performax_peach_crew_textured_t-shirt_with_raglan_sleeves.jpg'}, {'altText': 'PERFORMAX Peach Crew Textured T-shirt with Raglan Sleeves', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h56/hef/17010737053726/performax_peach_crew_textured_t-shirt_with_raglan_sleeves.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 240.00', 'displayformattedValue': 'Rs. 240', 'value': 240}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 599.00', 'displayformattedValue': 'Rs. 599', 'value': 599}",Textured T-shirt with Raglan Sleeves,False,/performax-textured-t-shirt-with-raglan-sleeves/p/440929702_ltpeach,60% off,"{'sizeVariants': ['XS', 'S', 'M', 'L']}",trends.ajio.com/performax-textured-t-shirt-with-raglan-sleeves/p/440929702_ltpeach
7,440940476001,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/he3/h77/17010716540958/-286Wx359H-440940476-mustard-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440940476_mustard', 'sizeFlag': False}","[{'altText': 'Teamspirit Mustard Yellow Crew Typographic Print Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd0/h1c/17010717589534/teamspirit_mustard_yellow_crew_typographic_print_crew-neck_t-shirt.jpg'}, {'altText': 'Teamspirit Mustard Yellow Crew Typographic Print Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he2/h15/17010724601886/teamspirit_mustard_yellow_crew_typographic_print_crew-neck_t-shirt.jpg'}, {'altText': 'Teamspirit Mustard Yellow Crew Typographic Print Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he3/h77/17010716540958/teamspirit_mustard_yellow_crew_typographic_print_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 150.00', 'displayformattedValue': 'Rs. 150', 'value': 150}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Typographic Print Crew-Neck T-shirt,False,/teamspirit-typographic-print-crew-neck-t-shirt/p/440940476_mustard,50% off,"{'sizeVariants': ['XS', 'S', 'M']}",trends.ajio.com/teamspirit-typographic-print-crew-neck-t-shirt/p/440940476_mustard
8,440996913007,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h3b/hca/17020504342558/-286Wx359H-440996913-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440996913_white', 'sizeFlag': False}","[{'altText': 'DNMX White Crew Graphic Print Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha5/h7a/17020504670238/dnmx_white_crew_graphic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX White Crew Graphic Print Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h19/h9d/17020508209182/dnmx_white_crew_graphic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX White Crew Graphic Print Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h3b/hca/17020504342558/dnmx_white_crew_graphic_print_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 209.00', 'displayformattedValue': 'Rs. 209', 'value': 209}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Graphic Print Crew-Neck T-shirt,False,/dnmx-graphic-print-crew-neck-t-shirt/p/440996913_white,30% off,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",trends.ajio.com/dnmx-graphic-print-crew-neck-t-shirt/p/440996913_white
9,441018114030,Coupon Applicable,"{'brandName': 'FIG', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hd1/h4e/15065653706782/-286Wx359H-441018114-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441018114_navy', 'sizeFlag': False}","[{'altText': 'FIG Navy Blue Crew Round-Neck T-shirt with Elasticated Bell Sleeves', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha1/h4e/15065654329374/fig_navy_blue_crew_round-neck_t-shirt_with_elasticated_bell_sleeves.jpg'}, {'altText': 'FIG Navy Blue Crew Round-Neck T-shirt with Elasticated Bell Sleeves', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb0/h8c/15065663275038/fig_navy_blue_crew_round-neck_t-shirt_with_elasticated_bell_sleeves.jpg'}, {'altText': 'FIG Navy Blue Crew Round-Neck T-shirt with Elasticated Bell Sleeves', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd1/h4e/15065653706782/fig_navy_blue_crew_round-neck_t-shirt_with_elasticated_bell_sleeves.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 239.00', 'displayformattedValue': 'Rs. 239', 'value': 239}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Round-Neck T-shirt with Elasticated Bell Sleeves,False,/fig-round-neck-t-shirt-with-elasticated-bell-sleeves/p/441018114_navy,40% off,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/fig-round-neck-t-shirt-with-elasticated-bell-sleeves/p/441018114_navy
10,441018114018,Coupon Applicable,"{'brandName': 'FIG', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h76/h6a/14499062579230/-286Wx359H-441018114-charcoal-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441018114_charcoal', 'sizeFlag': False}","[{'altText': 'FIG Charcoal Grey Crew Round-Neck T-shirt with Elasticated Bell Sleeves', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h56/h1d/14499063136286/fig_charcoal_grey_crew_round-neck_t-shirt_with_elasticated_bell_sleeves.jpg'}, {'altText': 'FIG Charcoal Grey Crew Round-Neck T-shirt with Elasticated Bell Sleeves', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb8/hdb/14499069591582/fig_charcoal_grey_crew_round-neck_t-shirt_with_elasticated_bell_sleeves.jpg'}, {'altText': 'FIG Charcoal Grey Crew Round-Neck T-shirt with Elasticated Bell Sleeves', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h76/h6a/14499062579230/fig_charcoal_grey_crew_round-neck_t-shirt_with_elasticated_bell_sleeves.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 239.00', 'displayformattedValue': 'Rs. 239', 'value': 239}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Round-Neck T-shirt with Elasticated Bell Sleeves,False,/fig-round-neck-t-shirt-with-elasticated-bell-sleeves/p/441018114_charcoal,40% off,"{'sizeVariants': ['XS', 'S', 'L', 'XXL']}",trends.ajio.com/fig-round-neck-t-shirt-with-elasticated-bell-sleeves/p/441018114_charcoal
11,440871500008,Coupon Applicable,"{'brandName': 'PERFORMAX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hdb/h1a/15155230572574/-286Wx359H-440871500-ltpeach-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440871500_ltpeach', 'sizeFlag': False}","[{'altText': 'PERFORMAX Peach Polo High-Collar T-shirt with Full Sleeves', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd6/h57/15155230965790/performax_peach_polo_high-collar_t-shirt_with_full_sleeves.jpg'}, {'altText': 'PERFORMAX Peach Polo High-Collar T-shirt with Full Sleeves', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he0/hde/15155236143134/performax_peach_polo_high-collar_t-shirt_with_full_sleeves.jpg'}, {'altText': 'PERFORMAX Peach Polo High-Collar T-shirt with Full Sleeves', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hdb/h1a/15155230572574/performax_peach_polo_high-collar_t-shirt_with_full_sleeves.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 480.00', 'displayformattedValue': 'Rs. 480', 'value': 480}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,199.00', 'displayformattedValue': 'Rs. 1,199', 'value': 1199}",High-Collar T-shirt with Full Sleeves,False,/performax-high-collar-t-shirt-with-full-sleeves/p/440871500_ltpeach,60% off,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/performax-high-collar-t-shirt-with-full-sleeves/p/440871500_ltpeach
12,440747636001,Coupon Applicable,"{'brandName': 'RIO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ha7/h57/15081866657822/-286Wx359H-440747636-ltgreen-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440747636_ltgreen', 'sizeFlag': False}","[{'altText': 'RIO Green Crew Shimmery Crew-Neck Crop T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2d/h42/15081867083806/rio_green_crew_shimmery_crew-neck_crop_t-shirt.jpg'}, {'altText': 'RIO Green Crew Shimmery Crew-Neck Crop T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h93/h98/15081874456606/rio_green_crew_shimmery_crew-neck_crop_t-shirt.jpg'}, {'altText': 'RIO Green Crew Shimmery Crew-Neck Crop T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha7/h57/15081866657822/rio_green_crew_shimmery_crew-neck_crop_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 315.00', 'displayformattedValue': 'Rs. 315', 'value': 315}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}",Shimmery Crew-Neck Crop T-shirt,False,/rio-shimmery-crew-neck-crop-t-shirt/p/440747636_ltgreen,55% off,"{'sizeVariants': ['XS', 'M', 'XL']}",trends.ajio.com/rio-shimmery-crew-neck-crop-t-shirt/p/440747636_ltgreen
13,440787146001,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h76/h4e/15081876291614/-286Wx359H-440787146-greymelange-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440787146_greymelange', 'sizeFlag': False}","[{'altText': 'DNMX Grey Melange Crew Printed Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he2/hcf/15081876881438/dnmx_grey_melange_crew_printed_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Grey Melange Crew Printed Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hde/hf4/15081885466654/dnmx_grey_melange_crew_printed_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Grey Melange Crew Printed Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h76/h4e/15081876291614/dnmx_grey_melange_crew_printed_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 200.00', 'displayformattedValue': 'Rs. 200', 'value': 200}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Printed Crew-Neck T-shirt,False,/dnmx-printed-crew-neck-t-shirt/p/440787146_greymelange,50% off,{'sizeVariants': ['XS']},trends.ajio.com/dnmx-printed-crew-neck-t-shirt/p/440787146_greymelange
14,441008217009,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h1d/h8d/14693750603806/-286Wx359H-441008217-maroon-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441008217_maroon', 'sizeFlag': False}","[{'altText': 'Teamspirit Maroon Crew Round-Neck T-shirt with Contrast Taping', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hfe/ha3/14693751128094/teamspirit_maroon_crew_round-neck_t-shirt_with_contrast_taping.jpg'}, {'altText': 'Teamspirit Maroon Crew Round-Neck T-shirt with Contrast Taping', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h7f/h3d/14693754896414/teamspirit_maroon_crew_round-neck_t-shirt_with_contrast_taping.jpg'}, {'altText': 'Teamspirit Maroon Crew Round-Neck T-shirt with Contrast Taping', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h1d/h8d/14693750603806/teamspirit_maroon_crew_round-neck_t-shirt_with_contrast_taping.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 329.00', 'displayformattedValue': 'Rs. 329', 'value': 329}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 599.00', 'displayformattedValue': 'Rs. 599', 'value': 599}",Round-Neck T-shirt with Contrast Taping,False,/teamspirit-round-neck-t-shirt-with-contrast-taping/p/441008217_maroon,45% off,"{'sizeVariants': ['XS', 'S', 'M', 'XXL']}",trends.ajio.com/teamspirit-round-neck-t-shirt-with-contrast-taping/p/441008217_maroon
