,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,460611134002,Coupon Applicable,"{'brandName': 'SPYKAR', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5eff79e2aeb2693175832325/-286Wx359H-460611134-beige-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460611134_beige', 'sizeFlag': False}","[{'altText': 'SPYKAR Beige Classic Slim Fit Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5eff79e2aeb2693175832350/spykar_beige_classic_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'SPYKAR Beige Classic Slim Fit Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5eff79e2aeb2693175832334/spykar_beige_classic_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'SPYKAR Beige Classic Slim Fit Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5eff79e2aeb2693175832325/spykar_beige_classic_slim_fit_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,079.00', 'displayformattedValue': 'Rs. 1,079', 'value': 1079}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,799.00', 'displayformattedValue': 'Rs. 1,799', 'value': 1799}",Slim Fit Shirt with Patch Pocket,False,/spykar-slim-fit-shirt-with-patch-pocket/p/460611134_beige,,www.ajio.com/spykar-slim-fit-shirt-with-patch-pocket/p/460611134_beige
1,460441678002,Coupon Applicable,"{'brandName': 'U.S. Polo Assn.', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200730/cMas/5f21c2f0f997dd22778d64fd/-286Wx359H-460441678-yellow-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460441678_yellow', 'sizeFlag': False}","[{'altText': 'U.S. Polo Assn. Yellow Classic Checked Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/cMas/5f21c2f0f997dd22778d6502/u.s._polo_assn._yellow_classic_checked_shirt_with_patch_pocket.jpg'}, {'altText': 'U.S. Polo Assn. Yellow Classic Checked Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/cMas/5f21c2f0f997dd22778d64fe/u.s._polo_assn._yellow_classic_checked_shirt_with_patch_pocket.jpg'}, {'altText': 'U.S. Polo Assn. Yellow Classic Checked Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/cMas/5f21c2f0f997dd22778d64fd/u.s._polo_assn._yellow_classic_checked_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,399.00', 'displayformattedValue': 'Rs. 2,399', 'value': 2399}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,399.00', 'displayformattedValue': 'Rs. 2,399', 'value': 2399}",Checked Shirt with Patch Pocket,False,/u-s-polo-assn-checked-shirt-with-patch-pocket/p/460441678_yellow,,www.ajio.com/u-s-polo-assn-checked-shirt-with-patch-pocket/p/460441678_yellow
2,460437003009,Coupon Applicable,"{'brandName': 'UNITED COLORS OF BENETTON', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200730/lURH/5f21c0d5f997dd22778d58d4/-286Wx359H-460437003-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460437003_blue', 'sizeFlag': False}","[{'altText': 'UNITED COLORS OF BENETTON Blue Classic Checked Slim Fit Shirt with Curved Hemline', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/lURH/5f21c0d5f997dd22778d58e2/united_colors_of_benetton_blue_classic_checked_slim_fit_shirt_with_curved_hemline.jpg'}, {'altText': 'UNITED COLORS OF BENETTON Blue Classic Checked Slim Fit Shirt with Curved Hemline', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/lURH/5f21c0d5f997dd22778d58d7/united_colors_of_benetton_blue_classic_checked_slim_fit_shirt_with_curved_hemline.jpg'}, {'altText': 'UNITED COLORS OF BENETTON Blue Classic Checked Slim Fit Shirt with Curved Hemline', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/lURH/5f21c0d5f997dd22778d58d4/united_colors_of_benetton_blue_classic_checked_slim_fit_shirt_with_curved_hemline.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,999.00', 'displayformattedValue': 'Rs. 2,999', 'value': 2999}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,999.00', 'displayformattedValue': 'Rs. 2,999', 'value': 2999}",Checked Slim Fit Shirt with Curved Hemline,False,/united-colors-of-benetton-checked-slim-fit-shirt-with-curved-hemline/p/460437003_blue,,www.ajio.com/united-colors-of-benetton-checked-slim-fit-shirt-with-curved-hemline/p/460437003_blue
3,460436934019,Coupon Applicable,"{'brandName': 'UNITED COLORS OF BENETTON', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200730/kWv4/5f21c0d8aeb2693e0458d9f9/-286Wx359H-460436934-teal-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460436934_teal', 'sizeFlag': False}","[{'altText': 'UNITED COLORS OF BENETTON Beige Classic Printed Slim Fit Shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/kWv4/5f21c0d8aeb2693e0458da13/united_colors_of_benetton_beige_classic_printed_slim_fit_shirt.jpg'}, {'altText': 'UNITED COLORS OF BENETTON Beige Classic Printed Slim Fit Shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/kWv4/5f21c0d8aeb2693e0458d9fd/united_colors_of_benetton_beige_classic_printed_slim_fit_shirt.jpg'}, {'altText': 'UNITED COLORS OF BENETTON Beige Classic Printed Slim Fit Shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/kWv4/5f21c0d8aeb2693e0458d9f9/united_colors_of_benetton_beige_classic_printed_slim_fit_shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,999.00', 'displayformattedValue': 'Rs. 1,999', 'value': 1999}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,999.00', 'displayformattedValue': 'Rs. 1,999', 'value': 1999}",Printed Slim Fit Shirt,False,/united-colors-of-benetton-printed-slim-fit-shirt/p/460436934_teal,,www.ajio.com/united-colors-of-benetton-printed-slim-fit-shirt/p/460436934_teal
4,460322365033,Coupon Applicable,"{'brandName': 'Celio', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200730/A5t3/5f21c20ff997dd22778d5fe3/-286Wx359H-460322365-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460322365_green', 'sizeFlag': False}","[{'altText': 'Celio Blue Classic Slim Fit Shirt with Button-Down Collar', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/A5t3/5f21c20ff997dd22778d5ffa/celio_blue_classic_slim_fit_shirt_with_button-down_collar.jpg'}, {'altText': 'Celio Blue Classic Slim Fit Shirt with Button-Down Collar', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/A5t3/5f21c20ff997dd22778d5fe8/celio_blue_classic_slim_fit_shirt_with_button-down_collar.jpg'}, {'altText': 'Celio Blue Classic Slim Fit Shirt with Button-Down Collar', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/A5t3/5f21c20ff997dd22778d5fe3/celio_blue_classic_slim_fit_shirt_with_button-down_collar.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,999.00', 'displayformattedValue': 'Rs. 1,999', 'value': 1999}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,999.00', 'displayformattedValue': 'Rs. 1,999', 'value': 1999}",Slim Fit Shirt with Button-Down Collar,False,/celio-slim-fit-shirt-with-button-down-collar/p/460322365_green,,www.ajio.com/celio-slim-fit-shirt-with-button-down-collar/p/460322365_green
5,460312033001,Coupon Applicable,"{'brandName': 'RED TAPE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h5b/hf5/15816846082078/-286Wx359H-460312033-multi-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460312033_multi', 'sizeFlag': False}","[{'altText': 'RED TAPE Multicoloured Classic Checked Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8b/h20/15816846409758/red_tape_multicoloured_classic_checked_shirt_with_patch_pocket.jpg'}, {'altText': 'RED TAPE Multicoloured Classic Checked Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/heb/h41/15816850472990/red_tape_multicoloured_classic_checked_shirt_with_patch_pocket.jpg'}, {'altText': 'RED TAPE Multicoloured Classic Checked Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h5b/hf5/15816846082078/red_tape_multicoloured_classic_checked_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,299.00', 'displayformattedValue': 'Rs. 2,299', 'value': 2299}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,299.00', 'displayformattedValue': 'Rs. 2,299', 'value': 2299}",Checked Shirt with Patch Pocket,False,/red-tape-checked-shirt-with-patch-pocket/p/460312033_multi,"{'sizeVariants': ['L', 'XL']}",www.ajio.com/red-tape-checked-shirt-with-patch-pocket/p/460312033_multi
6,460312025004,Coupon Applicable,"{'brandName': 'RED TAPE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f18c5adf997dd433b51921c/-286Wx359H-460312025-brown-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460312025_brown', 'sizeFlag': False}","[{'altText': 'RED TAPE Brown Classic Checked Shirt with Button-Down Collar', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f18c5adf997dd433b519233/red_tape_brown_classic_checked_shirt_with_button-down_collar.jpg'}, {'altText': 'RED TAPE Brown Classic Checked Shirt with Button-Down Collar', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f18c5adf997dd433b51921e/red_tape_brown_classic_checked_shirt_with_button-down_collar.jpg'}, {'altText': 'RED TAPE Brown Classic Checked Shirt with Button-Down Collar', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f18c5adf997dd433b51921c/red_tape_brown_classic_checked_shirt_with_button-down_collar.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,299.00', 'displayformattedValue': 'Rs. 2,299', 'value': 2299}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,299.00', 'displayformattedValue': 'Rs. 2,299', 'value': 2299}",Checked Shirt with Button-Down Collar,False,/red-tape-checked-shirt-with-button-down-collar/p/460312025_brown,"{'sizeVariants': ['S', 'M']}",www.ajio.com/red-tape-checked-shirt-with-button-down-collar/p/460312025_brown
7,460312024002,Coupon Applicable,"{'brandName': 'RED TAPE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hc2/h82/15816583675934/-286Wx359H-460312024-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460312024_white', 'sizeFlag': False}","[{'altText': 'RED TAPE White Classic Checked Shirt with Button-Down Collar', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h63/h15/15816584265758/red_tape_white_classic_checked_shirt_with_button-down_collar.jpg'}, {'altText': 'RED TAPE White Classic Checked Shirt with Button-Down Collar', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h5a/h69/15816589705246/red_tape_white_classic_checked_shirt_with_button-down_collar.jpg'}, {'altText': 'RED TAPE White Classic Checked Shirt with Button-Down Collar', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc2/h82/15816583675934/red_tape_white_classic_checked_shirt_with_button-down_collar.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,299.00', 'displayformattedValue': 'Rs. 2,299', 'value': 2299}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,299.00', 'displayformattedValue': 'Rs. 2,299', 'value': 2299}",Checked Shirt with Button-Down Collar,False,/red-tape-checked-shirt-with-button-down-collar/p/460312024_white,"{'sizeVariants': ['L', 'XL']}",www.ajio.com/red-tape-checked-shirt-with-button-down-collar/p/460312024_white
8,460312020001,Coupon Applicable,"{'brandName': 'RED TAPE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h5a/h3f/15816556281886/-286Wx359H-460312020-purple-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460312020_purple', 'sizeFlag': False}","[{'altText': 'RED TAPE Purple Classic Checked Shirt with Button-Down Collar', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h9d/he9/15816556806174/red_tape_purple_classic_checked_shirt_with_button-down_collar.jpg'}, {'altText': 'RED TAPE Purple Classic Checked Shirt with Button-Down Collar', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hae/h22/15816562901022/red_tape_purple_classic_checked_shirt_with_button-down_collar.jpg'}, {'altText': 'RED TAPE Purple Classic Checked Shirt with Button-Down Collar', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h5a/h3f/15816556281886/red_tape_purple_classic_checked_shirt_with_button-down_collar.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,299.00', 'displayformattedValue': 'Rs. 2,299', 'value': 2299}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,299.00', 'displayformattedValue': 'Rs. 2,299', 'value': 2299}",Checked Shirt with Button-Down Collar,False,/red-tape-checked-shirt-with-button-down-collar/p/460312020_purple,"{'sizeVariants': ['L', 'XL']}",www.ajio.com/red-tape-checked-shirt-with-button-down-collar/p/460312020_purple
9,460312010001,Coupon Applicable,"{'brandName': 'RED TAPE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h99/h1d/15816552546334/-286Wx359H-460312010-lightblue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460312010_lightblue', 'sizeFlag': False}","[{'altText': 'RED TAPE Blue Classic Checked Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h68/hb3/15816552808478/red_tape_blue_classic_checked_shirt_with_patch_pocket.jpg'}, {'altText': 'RED TAPE Blue Classic Checked Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h73/h52/15816557592606/red_tape_blue_classic_checked_shirt_with_patch_pocket.jpg'}, {'altText': 'RED TAPE Blue Classic Checked Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h99/h1d/15816552546334/red_tape_blue_classic_checked_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,299.00', 'displayformattedValue': 'Rs. 2,299', 'value': 2299}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,299.00', 'displayformattedValue': 'Rs. 2,299', 'value': 2299}",Checked Shirt with Patch Pocket,False,/red-tape-checked-shirt-with-patch-pocket/p/460312010_lightblue,"{'sizeVariants': ['L', 'XL']}",www.ajio.com/red-tape-checked-shirt-with-patch-pocket/p/460312010_lightblue
10,460311990002,Coupon Applicable,"{'brandName': 'RED TAPE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hf0/ha6/15816552284190/-286Wx359H-460311990-royalblue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460311990_royalblue', 'sizeFlag': False}","[{'altText': 'RED TAPE Blue Classic Checked Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hfa/h9b/15816552611870/red_tape_blue_classic_checked_shirt_with_patch_pocket.jpg'}, {'altText': 'RED TAPE Blue Classic Checked Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h09/ha2/15816557264926/red_tape_blue_classic_checked_shirt_with_patch_pocket.jpg'}, {'altText': 'RED TAPE Blue Classic Checked Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf0/ha6/15816552284190/red_tape_blue_classic_checked_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,299.00', 'displayformattedValue': 'Rs. 2,299', 'value': 2299}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,299.00', 'displayformattedValue': 'Rs. 2,299', 'value': 2299}",Checked Shirt with Patch Pocket,False,/red-tape-checked-shirt-with-patch-pocket/p/460311990_royalblue,"{'sizeVariants': ['S', 'M']}",www.ajio.com/red-tape-checked-shirt-with-patch-pocket/p/460311990_royalblue
11,460618406007,Coupon Applicable,"{'brandName': 'Celio', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200730/mHwG/5f21c2b3f997dd22778d6385/-286Wx359H-460618406-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460618406_blue', 'sizeFlag': False}","[{'altText': 'Celio Blue Classic Heathered Slim Fit Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/mHwG/5f21c2b3f997dd22778d6394/celio_blue_classic_heathered_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'Celio Blue Classic Heathered Slim Fit Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/mHwG/5f21c2b3f997dd22778d638a/celio_blue_classic_heathered_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'Celio Blue Classic Heathered Slim Fit Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/mHwG/5f21c2b3f997dd22778d6385/celio_blue_classic_heathered_slim_fit_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,499.00', 'displayformattedValue': 'Rs. 2,499', 'value': 2499}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,499.00', 'displayformattedValue': 'Rs. 2,499', 'value': 2499}",Heathered Slim Fit Shirt with Patch Pocket,False,/celio-heathered-slim-fit-shirt-with-patch-pocket/p/460618406_blue,,www.ajio.com/celio-heathered-slim-fit-shirt-with-patch-pocket/p/460618406_blue
12,460537418028,Coupon Applicable,"{'brandName': 'Columbia', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200730/k6YL/5f21c27df997dd22778d627c/-286Wx359H-460537418-offwhite-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460537418_offwhite', 'sizeFlag': False}","[{'altText': 'Columbia Beige Classic Silver Ridge 2.0 Shirt with Flap Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/k6YL/5f21c27df997dd22778d628d/columbia_beige_classic_silver_ridge_2.0_shirt_with_flap_pockets.jpg'}, {'altText': 'Columbia Beige Classic Silver Ridge 2.0 Shirt with Flap Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/k6YL/5f21c27df997dd22778d627e/columbia_beige_classic_silver_ridge_2.0_shirt_with_flap_pockets.jpg'}, {'altText': 'Columbia Beige Classic Silver Ridge 2.0 Shirt with Flap Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/k6YL/5f21c27df997dd22778d627c/columbia_beige_classic_silver_ridge_2.0_shirt_with_flap_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,999.00', 'displayformattedValue': 'Rs. 3,999', 'value': 3999}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,999.00', 'displayformattedValue': 'Rs. 3,999', 'value': 3999}",Silver Ridge 2.0 Shirt with Flap Pockets,False,/columbia-silver-ridge-2-0-shirt-with-flap-pockets/p/460537418_offwhite,,www.ajio.com/columbia-silver-ridge-2-0-shirt-with-flap-pockets/p/460537418_offwhite
13,460537418032,Coupon Applicable,"{'brandName': 'Columbia', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200730/zgRG/5f21c282aeb2693e0458e2d5/-286Wx359H-460537418-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460537418_green', 'sizeFlag': False}","[{'altText': 'Columbia Green Classic Silver Ridge 2.0 Shirt with Flap Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/zgRG/5f21c282aeb2693e0458e2e3/columbia_green_classic_silver_ridge_2.0_shirt_with_flap_pockets.jpg'}, {'altText': 'Columbia Green Classic Silver Ridge 2.0 Shirt with Flap Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/zgRG/5f21c282aeb2693e0458e2d7/columbia_green_classic_silver_ridge_2.0_shirt_with_flap_pockets.jpg'}, {'altText': 'Columbia Green Classic Silver Ridge 2.0 Shirt with Flap Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/zgRG/5f21c282aeb2693e0458e2d5/columbia_green_classic_silver_ridge_2.0_shirt_with_flap_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,999.00', 'displayformattedValue': 'Rs. 3,999', 'value': 3999}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,999.00', 'displayformattedValue': 'Rs. 3,999', 'value': 3999}",Silver Ridge 2.0 Shirt with Flap Pockets,False,/columbia-silver-ridge-2-0-shirt-with-flap-pockets/p/460537418_green,,www.ajio.com/columbia-silver-ridge-2-0-shirt-with-flap-pockets/p/460537418_green
