,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,460473948012,Coupon Applicable,"{'brandName': 'Celio', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200730/QMbr/5f21c23ef997dd22778d60f4/-286Wx359H-460473948-black-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460473948_black', 'sizeFlag': False}","[{'altText': 'Celio Black Chinos Pobelt Mid-Rise Slim Fit Flat-Front Chinos with Detachable Belt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/QMbr/5f21c23ef997dd22778d6104/celio_black_chinos_pobelt_mid-rise_slim_fit_flat-front_chinos_with_detachable_belt.jpg'}, {'altText': 'Celio Black Chinos Pobelt Mid-Rise Slim Fit Flat-Front Chinos with Detachable Belt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/QMbr/5f21c23ef997dd22778d60f7/celio_black_chinos_pobelt_mid-rise_slim_fit_flat-front_chinos_with_detachable_belt.jpg'}, {'altText': 'Celio Black Chinos Pobelt Mid-Rise Slim Fit Flat-Front Chinos with Detachable Belt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/QMbr/5f21c23ef997dd22778d60f4/celio_black_chinos_pobelt_mid-rise_slim_fit_flat-front_chinos_with_detachable_belt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",60% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,120.00', 'displayformattedValue': 'Rs. 1,120', 'value': 1120}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,799.00', 'displayformattedValue': 'Rs. 2,799', 'value': 2799}",Pobelt Mid-Rise Slim Fit Flat-Front Chinos with Detachable Belt,False,/celio-pobelt-mid-rise-slim-fit-flat-front-chinos-with-detachable-belt/p/460473948_black,,www.ajio.com/celio-pobelt-mid-rise-slim-fit-flat-front-chinos-with-detachable-belt/p/460473948_black
1,460473948002,Coupon Applicable,"{'brandName': 'Celio', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200730/ZYDR/5f21c0d8aeb2693e0458d9d5/-286Wx359H-460473948-beige-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460473948_beige', 'sizeFlag': False}","[{'altText': 'Celio Beige Chinos Pobelt Mid-Rise Slim Fit Flat-Front Chinos with Detachable Belt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/ZYDR/5f21c0d8aeb2693e0458d9f2/celio_beige_chinos_pobelt_mid-rise_slim_fit_flat-front_chinos_with_detachable_belt.jpg'}, {'altText': 'Celio Beige Chinos Pobelt Mid-Rise Slim Fit Flat-Front Chinos with Detachable Belt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/ZYDR/5f21c0d8aeb2693e0458d9de/celio_beige_chinos_pobelt_mid-rise_slim_fit_flat-front_chinos_with_detachable_belt.jpg'}, {'altText': 'Celio Beige Chinos Pobelt Mid-Rise Slim Fit Flat-Front Chinos with Detachable Belt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/ZYDR/5f21c0d8aeb2693e0458d9d5/celio_beige_chinos_pobelt_mid-rise_slim_fit_flat-front_chinos_with_detachable_belt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",60% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,120.00', 'displayformattedValue': 'Rs. 1,120', 'value': 1120}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,799.00', 'displayformattedValue': 'Rs. 2,799', 'value': 2799}",Pobelt Mid-Rise Slim Fit Flat-Front Chinos with Detachable Belt,False,/celio-pobelt-mid-rise-slim-fit-flat-front-chinos-with-detachable-belt/p/460473948_beige,,www.ajio.com/celio-pobelt-mid-rise-slim-fit-flat-front-chinos-with-detachable-belt/p/460473948_beige
2,460473947002,Coupon Applicable,"{'brandName': 'Celio', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200730/QRC8/5f21c14ff997dd22778d5b81/-286Wx359H-460473947-khaki-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460473947_khaki', 'sizeFlag': False}","[{'altText': 'Celio Khaki Chinos Pobelt Mid-Rise Flat-Front Chinos with Detachable Belt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/QRC8/5f21c14ff997dd22778d5b9a/celio_khaki_chinos_pobelt_mid-rise_flat-front_chinos_with_detachable_belt.jpg'}, {'altText': 'Celio Khaki Chinos Pobelt Mid-Rise Flat-Front Chinos with Detachable Belt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/QRC8/5f21c14ff997dd22778d5b87/celio_khaki_chinos_pobelt_mid-rise_flat-front_chinos_with_detachable_belt.jpg'}, {'altText': 'Celio Khaki Chinos Pobelt Mid-Rise Flat-Front Chinos with Detachable Belt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/QRC8/5f21c14ff997dd22778d5b81/celio_khaki_chinos_pobelt_mid-rise_flat-front_chinos_with_detachable_belt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",60% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,120.00', 'displayformattedValue': 'Rs. 1,120', 'value': 1120}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,799.00', 'displayformattedValue': 'Rs. 2,799', 'value': 2799}",Pobelt Mid-Rise Flat-Front Chinos with Detachable Belt,False,/celio-pobelt-mid-rise-flat-front-chinos-with-detachable-belt/p/460473947_khaki,,www.ajio.com/celio-pobelt-mid-rise-flat-front-chinos-with-detachable-belt/p/460473947_khaki
3,410142199005,Coupon Applicable,"{'brandName': 'ARMANI EXCHANGE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200730/hDl9/5f21c2b8f997dd22778d6402/-286Wx359H-410142199-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410142199_navy', 'sizeFlag': False}","[{'altText': 'ARMANI EXCHANGE Navy Blue Pleated Mid-Rise Pleated Trousers with Slip Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/hDl9/5f21c2b8f997dd22778d6419/armani_exchange_navy_blue_pleated_mid-rise_pleated_trousers_with_slip_pockets.jpg'}, {'altText': 'ARMANI EXCHANGE Navy Blue Pleated Mid-Rise Pleated Trousers with Slip Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/hDl9/5f21c2b8f997dd22778d6406/armani_exchange_navy_blue_pleated_mid-rise_pleated_trousers_with_slip_pockets.jpg'}, {'altText': 'ARMANI EXCHANGE Navy Blue Pleated Mid-Rise Pleated Trousers with Slip Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/hDl9/5f21c2b8f997dd22778d6402/armani_exchange_navy_blue_pleated_mid-rise_pleated_trousers_with_slip_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 10,999.00', 'displayformattedValue': 'Rs. 10,999', 'value': 10999}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 10,999.00', 'displayformattedValue': 'Rs. 10,999', 'value': 10999}",Mid-Rise Pleated Trousers with Slip Pockets,False,/armani-exchange-mid-rise-pleated-trousers-with-slip-pockets/p/410142199_navy,,www.ajio.com/armani-exchange-mid-rise-pleated-trousers-with-slip-pockets/p/410142199_navy
4,410110005002,Coupon Applicable,"{'brandName': 'ARMANI EXCHANGE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200730/YL65/5f21c334f997dd22778d66c9/-286Wx359H-410110005-bscyprw-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410110005_bscyprw', 'sizeFlag': False}","[{'altText': 'ARMANI EXCHANGE Grey Flat front Mid-Rise Camouflage Print Slim Fit Flat-Front Trousers', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/YL65/5f21c334f997dd22778d66e8/armani_exchange_grey_flat_front_mid-rise_camouflage_print_slim_fit_flat-front_trousers.jpg'}, {'altText': 'ARMANI EXCHANGE Grey Flat front Mid-Rise Camouflage Print Slim Fit Flat-Front Trousers', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/YL65/5f21c334f997dd22778d66d0/armani_exchange_grey_flat_front_mid-rise_camouflage_print_slim_fit_flat-front_trousers.jpg'}, {'altText': 'ARMANI EXCHANGE Grey Flat front Mid-Rise Camouflage Print Slim Fit Flat-Front Trousers', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/YL65/5f21c334f997dd22778d66c9/armani_exchange_grey_flat_front_mid-rise_camouflage_print_slim_fit_flat-front_trousers.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 9,999.00', 'displayformattedValue': 'Rs. 9,999', 'value': 9999}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 9,999.00', 'displayformattedValue': 'Rs. 9,999', 'value': 9999}",Mid-Rise Camouflage Print Slim Fit Flat-Front Trousers,False,/armani-exchange-mid-rise-camouflage-print-slim-fit-flat-front-trousers/p/410110005_bscyprw,,www.ajio.com/armani-exchange-mid-rise-camouflage-print-slim-fit-flat-front-trousers/p/410110005_bscyprw
5,410109680001,Coupon Applicable,"{'brandName': 'ARMANI EXCHANGE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200730/V981/5f21c2efaeb2693e0458e4a5/-286Wx359H-410109680-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410109680_navy', 'sizeFlag': False}","[{'altText': 'ARMANI EXCHANGE Navy Blue Stylised Mid-Rise Jogger Pants with Elasticated Drawstring Waist', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/V981/5f21c2efaeb2693e0458e4b4/armani_exchange_navy_blue_stylised_mid-rise_jogger_pants_with_elasticated_drawstring_waist.jpg'}, {'altText': 'ARMANI EXCHANGE Navy Blue Stylised Mid-Rise Jogger Pants with Elasticated Drawstring Waist', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/V981/5f21c2efaeb2693e0458e4a8/armani_exchange_navy_blue_stylised_mid-rise_jogger_pants_with_elasticated_drawstring_waist.jpg'}, {'altText': 'ARMANI EXCHANGE Navy Blue Stylised Mid-Rise Jogger Pants with Elasticated Drawstring Waist', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/V981/5f21c2efaeb2693e0458e4a5/armani_exchange_navy_blue_stylised_mid-rise_jogger_pants_with_elasticated_drawstring_waist.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 10,999.00', 'displayformattedValue': 'Rs. 10,999', 'value': 10999}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 10,999.00', 'displayformattedValue': 'Rs. 10,999', 'value': 10999}",Mid-Rise Jogger Pants with Elasticated Drawstring Waist,False,/armani-exchange-mid-rise-jogger-pants-with-elasticated-drawstring-waist/p/410109680_navy,,www.ajio.com/armani-exchange-mid-rise-jogger-pants-with-elasticated-drawstring-waist/p/410109680_navy
6,410109678004,Coupon Applicable,"{'brandName': 'ARMANI EXCHANGE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200730/ljbM/5f21c05caeb2693e0458d701/-286Wx359H-410109678-climbingivy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410109678_climbingivy', 'sizeFlag': False}","[{'altText': 'ARMANI EXCHANGE Olive Green Cargo Mid-Rise Slim Fit Cargo Trousers', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/ljbM/5f21c05caeb2693e0458d729/armani_exchange_olive_green_cargo_mid-rise_slim_fit_cargo_trousers.jpg'}, {'altText': 'ARMANI EXCHANGE Olive Green Cargo Mid-Rise Slim Fit Cargo Trousers', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/ljbM/5f21c05caeb2693e0458d705/armani_exchange_olive_green_cargo_mid-rise_slim_fit_cargo_trousers.jpg'}, {'altText': 'ARMANI EXCHANGE Olive Green Cargo Mid-Rise Slim Fit Cargo Trousers', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200730/ljbM/5f21c05caeb2693e0458d701/armani_exchange_olive_green_cargo_mid-rise_slim_fit_cargo_trousers.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 10,999.00', 'displayformattedValue': 'Rs. 10,999', 'value': 10999}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 10,999.00', 'displayformattedValue': 'Rs. 10,999', 'value': 10999}",Mid-Rise Slim Fit Cargo Trousers,False,/armani-exchange-mid-rise-slim-fit-cargo-trousers/p/410109678_climbingivy,,www.ajio.com/armani-exchange-mid-rise-slim-fit-cargo-trousers/p/410109678_climbingivy
7,460204924002,Coupon Applicable,"{'brandName': 'Hubberholme', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/dE7O/5f204255aeb269f5fee7308c/-286Wx359H-460204924-navyblue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460204924_navyblue', 'sizeFlag': False}","[{'altText': 'Hubberholme Navy Blue Cargo Mid-Rise Slim Fit Cargo Pants', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/dE7O/5f204255aeb269f5fee730a0/hubberholme_navy_blue_cargo_mid-rise_slim_fit_cargo_pants.jpg'}, {'altText': 'Hubberholme Navy Blue Cargo Mid-Rise Slim Fit Cargo Pants', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/dE7O/5f204255aeb269f5fee73090/hubberholme_navy_blue_cargo_mid-rise_slim_fit_cargo_pants.jpg'}, {'altText': 'Hubberholme Navy Blue Cargo Mid-Rise Slim Fit Cargo Pants', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/dE7O/5f204255aeb269f5fee7308c/hubberholme_navy_blue_cargo_mid-rise_slim_fit_cargo_pants.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,499.00', 'displayformattedValue': 'Rs. 1,499', 'value': 1499}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,499.00', 'displayformattedValue': 'Rs. 1,499', 'value': 1499}",Mid-Rise Slim Fit Cargo Pants,False,/hubberholme-mid-rise-slim-fit-cargo-pants/p/460204924_navyblue,,www.ajio.com/hubberholme-mid-rise-slim-fit-cargo-pants/p/460204924_navyblue
8,460441813002,Coupon Applicable,"{'brandName': 'U.S. Polo Assn.', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/FWV6/5f2040017cdb8c2207865b46/-286Wx359H-460441813-brown-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460441813_brown', 'sizeFlag': False}","[{'altText': 'U.S. Polo Assn. Brown Flat front Mid-Rise Slim Fit Flat-Front Trousers', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/FWV6/5f2040017cdb8c2207865b66/u.s._polo_assn._brown_flat_front_mid-rise_slim_fit_flat-front_trousers.jpg'}, {'altText': 'U.S. Polo Assn. Brown Flat front Mid-Rise Slim Fit Flat-Front Trousers', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/FWV6/5f2040017cdb8c2207865b52/u.s._polo_assn._brown_flat_front_mid-rise_slim_fit_flat-front_trousers.jpg'}, {'altText': 'U.S. Polo Assn. Brown Flat front Mid-Rise Slim Fit Flat-Front Trousers', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/FWV6/5f2040017cdb8c2207865b46/u.s._polo_assn._brown_flat_front_mid-rise_slim_fit_flat-front_trousers.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,379.00', 'displayformattedValue': 'Rs. 1,379', 'value': 1379}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,299.00', 'displayformattedValue': 'Rs. 2,299', 'value': 2299}",Mid-Rise Slim Fit Flat-Front Trousers,False,/u-s-polo-assn-mid-rise-slim-fit-flat-front-trousers/p/460441813_brown,,www.ajio.com/u-s-polo-assn-mid-rise-slim-fit-flat-front-trousers/p/460441813_brown
9,420034239008,Coupon Applicable,"{'brandName': 'JOHN PLAYERS', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5eff7cb37cdb8c721b779d47/-286Wx359H-420034239-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '420034239_navy', 'sizeFlag': False}","[{'altText': 'JOHN PLAYERS Blue Flat front Mid-Rise Slim Fit Flat-Front Trousers', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5eff7cb37cdb8c721b779d62/john_players_blue_flat_front_mid-rise_slim_fit_flat-front_trousers.jpg'}, {'altText': 'JOHN PLAYERS Blue Flat front Mid-Rise Slim Fit Flat-Front Trousers', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5eff7cb37cdb8c721b779d4d/john_players_blue_flat_front_mid-rise_slim_fit_flat-front_trousers.jpg'}, {'altText': 'JOHN PLAYERS Blue Flat front Mid-Rise Slim Fit Flat-Front Trousers', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5eff7cb37cdb8c721b779d47/john_players_blue_flat_front_mid-rise_slim_fit_flat-front_trousers.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,199.00', 'displayformattedValue': 'Rs. 1,199', 'value': 1199}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,199.00', 'displayformattedValue': 'Rs. 1,199', 'value': 1199}",Mid-Rise Slim Fit Flat-Front Trousers,False,/john-players-mid-rise-slim-fit-flat-front-trousers/p/420034239_navy,,www.ajio.com/john-players-mid-rise-slim-fit-flat-front-trousers/p/420034239_navy
10,461337163001,Coupon Applicable,"{'brandName': 'Vataso', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200729/TGAm/5f216499f997ddfa5325fc5b/-286Wx359H-461337163-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461337163_blue', 'sizeFlag': False}","[{'altText': 'Vataso Blue Chinos Checked Flat-Front Slim Fit Chinos', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200729/TGAm/5f216499f997ddfa5325fc65/vataso_blue_chinos_checked_flat-front_slim_fit_chinos.jpg'}, {'altText': 'Vataso Blue Chinos Checked Flat-Front Slim Fit Chinos', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200729/TGAm/5f216499f997ddfa5325fc5d/vataso_blue_chinos_checked_flat-front_slim_fit_chinos.jpg'}, {'altText': 'Vataso Blue Chinos Checked Flat-Front Slim Fit Chinos', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200729/TGAm/5f216499f997ddfa5325fc5b/vataso_blue_chinos_checked_flat-front_slim_fit_chinos.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 850.00', 'displayformattedValue': 'Rs. 850', 'value': 850}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}",Checked Flat-Front Slim Fit Chinos,False,/vataso-checked-flat-front-slim-fit-chinos/p/461337163_blue,,www.ajio.com/vataso-checked-flat-front-slim-fit-chinos/p/461337163_blue
11,461337160001,Coupon Applicable,"{'brandName': 'Vataso', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200729/iK8r/5f2163d1f997ddfa5325f88c/-286Wx359H-461337160-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461337160_blue', 'sizeFlag': False}","[{'altText': 'Vataso Blue Chinos Checked Flat-Front Slim Fit Chinos', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200729/iK8r/5f2163d1f997ddfa5325f891/vataso_blue_chinos_checked_flat-front_slim_fit_chinos.jpg'}, {'altText': 'Vataso Blue Chinos Checked Flat-Front Slim Fit Chinos', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200729/iK8r/5f2163d1f997ddfa5325f88d/vataso_blue_chinos_checked_flat-front_slim_fit_chinos.jpg'}, {'altText': 'Vataso Blue Chinos Checked Flat-Front Slim Fit Chinos', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200729/iK8r/5f2163d1f997ddfa5325f88c/vataso_blue_chinos_checked_flat-front_slim_fit_chinos.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 850.00', 'displayformattedValue': 'Rs. 850', 'value': 850}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}",Checked Flat-Front Slim Fit Chinos,False,/vataso-checked-flat-front-slim-fit-chinos/p/461337160_blue,,www.ajio.com/vataso-checked-flat-front-slim-fit-chinos/p/461337160_blue
12,460257477003,Coupon Applicable,"{'brandName': 'ARROW', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200728/Qk2I/5f1f2195aeb269f5fee6daa0/-286Wx359H-460257477-blackmelange-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460257477_blackmelange', 'sizeFlag': False}","[{'altText': 'ARROW Grey Flat front Slim Fit Tapered Flat-Front Trousers', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/Qk2I/5f1f2195aeb269f5fee6daae/arrow_grey_flat_front_slim_fit_tapered_flat-front_trousers.jpg'}, {'altText': 'ARROW Grey Flat front Slim Fit Tapered Flat-Front Trousers', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/Qk2I/5f1f2195aeb269f5fee6daa2/arrow_grey_flat_front_slim_fit_tapered_flat-front_trousers.jpg'}, {'altText': 'ARROW Grey Flat front Slim Fit Tapered Flat-Front Trousers', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200728/Qk2I/5f1f2195aeb269f5fee6daa0/arrow_grey_flat_front_slim_fit_tapered_flat-front_trousers.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,799.00', 'displayformattedValue': 'Rs. 1,799', 'value': 1799}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,799.00', 'displayformattedValue': 'Rs. 1,799', 'value': 1799}",Slim Fit Tapered Flat-Front Trousers,False,/arrow-slim-fit-tapered-flat-front-trousers/p/460257477_blackmelange,,www.ajio.com/arrow-slim-fit-tapered-flat-front-trousers/p/460257477_blackmelange
